id,name,code,level,qualification_group,education_level,skill_level,date_from,active,parent_id/id
bg_ncop_11127003,Директор дирекция администрация на Народно събрание,11127003,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127004,Секретар Народно събрание,11127004,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127005,Държавен съветник Народно събрание Президентство,11127005,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127006,Началник протокол Народно събрание Президентство,11127006,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127007,Ръководител пресслужба Народно събрание Президентство,11127007,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127008,Главен държавен здравен инспектор,11127008,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127009,Областен управител,11127009,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127010,Заместник-областен управител,11127010,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11129011,Управител Национален осигурителен институт,11129011,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11129012,Подуправител Национален осигурителен институт,11129012,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127013,Председател Национален статистически институт,11127013,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127014,Заместник-председател Национален статистически институт,11127014,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11129015,Управител Българска народна банка,11129015,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11129016,Подуправител Българска народна банка,11129016,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11129017,Председател Сметна палата,11129017,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11129018,Управител Национална здравно-осигурителна каса,11129018,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11129019,Председател държавна комисия,11129019,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127020,Заместник-председател държавна комисия,11127020,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11129021,Председател на Икономически и социален съвет,11129021,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11129022,Председател Надзорен съвет на агенция,11129022,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127023,Изпълнителен директор агенция,11127023,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127024,Заместник-изпълнителен директор агенция,11127024,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11126025,Началник митническо бюро,11126025,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127026,Главен секретар администрация,11127026,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127027,Главен секретар Сметна палата,11127027,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127028,Директор териториална дирекция агенция,11127028,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127029,Държавен съкровищник Министерство на финансите,11127029,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127030,Заместник-главен инспектор Министерство на отбраната,11127030,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127031,Директор регионална митническа дирекция,11127031,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127032,Заместник-директор регионална митническа дирекция,11127032,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127033,Началник митница,11127033,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127034,Заместник-началник митница,11127034,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127035,Директор териториално статистическо бюро,11127035,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127036,Началник регионално управление на образованието,11127036,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127037,Началник регионална дирекция,11127037,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127038,Посланик,11127038,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127039,Временно управляващ посолство,11127039,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127040,Генерален консул,11127040,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127041,Консул,11127041,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127042,Аташе,11127042,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127043,Главен директор главна дирекция в администрация,11127043,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127044,Ръководител звено правителствени агенти,11127044,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127045,Главен финансов директор Българска народна банка,11127045,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127046,Началник кабинет,11127046,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127047,Началник кабинет председател на Сметна палата,11127047,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127048,Директор териториално поделение НОИ,11127048,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127049,Парламентарен секретар,11127049,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127050,Заместник-директор териториална дирекция,11127050,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127051,Заместник главен директор главна дирекция в администрация,11127051,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127052,Директор териториално поделение,11127052,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127053,Постоянен секретар,11127053,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127054,Политически директор,11127054,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127055,Ръководител на задгранично представителство по чл. 23 ал. 1 от ЗДС,11127055,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127056,Ръководител на задгранично представителство по чл. 23 ал. 1 и 2 от ЗДС,11127056,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127057,Пълномощен министър,11127057,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127058,Посланик за специални поръчения,11127058,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127059,Висш дипломатически служител,11127059,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127060,Специален координатор,11127060,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127061,Старши дипломатически служител - 1-ва степен,11127061,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127062,Старши дипломатически служител - 2-ра степен,11127062,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127063,Съветник в задгранично представителство,11127063,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127064,Първи секретар в задгранично представителство,11127064,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127065,Втори секретар в задгранично представителство,11127065,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127066,Трети секретар в задгранично представителство,11127066,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127067,Дипломатически служител - 1-ва степен,11127067,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127068,Дипломатически служител - 2-ра степен,11127068,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127069,Дипломатически служител - 3-та степен,11127069,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127070,Дипломатически служител - 4-та степен,11127070,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127071,Аташе в задгранично представителство,11127071,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127072,Генерален директор администрация,11127072,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127073,Председател постоянна комисия по области на висшето образование НАОА,11127073,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127074,Председател постоянна комисия за следакредитационно наблюдение и контрол НАОА,11127074,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127075,Член на Акредитационен съвет НАОА,11127075,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127076,Секретар на съвет по чл. 21 от Закона за администрацията,11127076,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127077,Секретар ЦКБППМН,11127077,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127078,Началник митнически пункт,11127078,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11125079,Главен комисар пожарна безопасност и спасяване,11125079,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11126080,Генерален комисар МВР,11126080,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11126081,Директор на дирекция полиция,11126081,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11129082,Председател комисия,11129082,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127083,Секретар община,11127083,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11126084,Секретар район,11126084,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127085,Секретар на Столична община,11127085,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11126086,Началник общинска служба по земеделие,11126086,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11126087,Заместник-началник общинска служба по земеделие,11126087,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11126088,Секретар на кметство,11126088,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127089,Главен директор главна дирекция в Столична община,11127089,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11126090,Главен ревизор по безопасността на транспорта,11126090,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11126091,Заместник - главен ревизор по безопасността на транспорта,11126091,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127092,Председател държавна агенция,11127092,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127093,Заместник-председател държавна агенция,11127093,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11125094,Главен старши и правителствен процесуален агент,11125094,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11125095,Говорител на МВнР,11125095,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11125096,Стажант-аташе,11125096,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127097,Директор Районна здравноосигурителна каса,11127097,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127098,Заместник-директор Районна здравноосигурителна каса,11127098,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11125099,Подуправител Национална здравно-осигурителна каса,11125099,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11125100,Заместник-председател Селскостопанска академия,11125100,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11125101,Председател Селскостопанска академия,11125101,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127102,Главен секретар администрация на МС,11127102,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11129103,Заместник-председател Сметна палата,11129103,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127104,Главен архитект Столична община,11127104,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127105,Ръководител на Главния инспекторат,11127105,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
bg_ncop_11127106,Секретар на Националната комисия за борба с трафика на хора,11127106,occupation,manager,higher,4,2025-01-01,true,bg_ncop_1112
