id,code,l10n_bg_ecattu,l10n_bg_type_settlement_id/id,name@en_US,name@bg_BG,l10n_bg_city_hall_code,l10n_bg_structure_type,country_id/id,zipcode,l10n_bg_has_tax_office,state_id/id,l10n_bg_municipality_id/id,l10n_bg_city_hall_id/id
l10n_bg_city.39877,39877,39877,l10n_bg_city.village,Krilatitsa,Крилатица,KRZ14-20,cityhall,base.bg,6884,False,l10n_bg_city.S40909,l10n_bg_city.36926,
l10n_bg_city.39894,39894,39894,l10n_bg_city.village,Krin,Крин,KRZ16-74,cityhall,base.bg,6671,False,l10n_bg_city.S40909,l10n_bg_city.40909,
l10n_bg_city.39918,39918,39918,l10n_bg_city.village,Krislovo,Крислово,PDV17-09,cityhall,base.bg,4148,False,l10n_bg_city.S56784,l10n_bg_city.56784,
l10n_bg_city.39935,39935,39935,l10n_bg_city.village,Kromidovo,Кромидово,BLG33-21,cityhall,base.bg,2871,False,l10n_bg_city.S04279,l10n_bg_city.56126,
l10n_bg_city.39949,39949,39949,l10n_bg_city.village,Kroyach,Крояч,RAZ17-10,cityhall,base.bg,7278,False,l10n_bg_city.S61710,l10n_bg_city.44166,
l10n_bg_city.39952,39952,39952,l10n_bg_city.village,Kroyachevo,Кроячево,KRZ02-12,cityhall,base.bg,6766,False,l10n_bg_city.S40909,l10n_bg_city.00607,
l10n_bg_city.39966,39966,39966,l10n_bg_city.village,Krum,Крум,HKV09-15,cityhall,base.bg,6438,False,l10n_bg_city.S77195,l10n_bg_city.21052,
l10n_bg_city.39983,39983,39983,l10n_bg_city.village,Krumovo,Крумово,VAR02-13,cityhall,base.bg,9185,False,l10n_bg_city.S10135,l10n_bg_city.00182,
l10n_bg_city.40004,40004,40004,l10n_bg_city.village,Krumovo,Крумово,PDV26-14,cityhall,base.bg,4112,False,l10n_bg_city.S56784,l10n_bg_city.56784,
l10n_bg_city.40018,40018,40018,l10n_bg_city.village,Krumovo,Крумово,JAM25-21,cityhall,base.bg,8649,False,l10n_bg_city.S87374,l10n_bg_city.87374,
l10n_bg_city.40021,40021,40021,l10n_bg_city.village,Krumovo gradishte,Крумово градище,BGS09-16,cityhall,base.bg,8487,False,l10n_bg_city.S07079,l10n_bg_city.36525,
l10n_bg_city.40052,40052,40052,l10n_bg_city.village,Krupnik,Крупник,BLG44-06,cityhall,base.bg,2740,False,l10n_bg_city.S04279,l10n_bg_city.66460,
l10n_bg_city.40083,40083,40083,l10n_bg_city.village,Krushare,Крушаре,SLV20-25,cityhall,base.bg,8877,False,l10n_bg_city.S67338,l10n_bg_city.67338,
l10n_bg_city.40124,40124,40124,l10n_bg_city.village,Krushevets,Крушевец,BGS21-08,cityhall,base.bg,8148,False,l10n_bg_city.S07079,l10n_bg_city.67800,
l10n_bg_city.40138,40138,40138,l10n_bg_city.village,Krushevo,Крушево,BLG13-07,cityhall,base.bg,2945,False,l10n_bg_city.S04279,l10n_bg_city.18366,
l10n_bg_city.40141,40141,40141,l10n_bg_city.village,Krushevo,Крушево,GAB29-17,cityhall,base.bg,5427,False,l10n_bg_city.S14218,l10n_bg_city.65927,
l10n_bg_city.40155,40155,40155,l10n_bg_city.village,Krushevo,Крушево,PDV23-13,cityhall,base.bg,4291,False,l10n_bg_city.S56784,l10n_bg_city.59080,
l10n_bg_city.40169,40169,40169,l10n_bg_city.village,Krushevska,Крушевска,KRZ16-75,cityhall,base.bg,6744,False,l10n_bg_city.S40909,l10n_bg_city.40909,
l10n_bg_city.40172,40172,40172,l10n_bg_city.village,Krusheto,Крушето,VTR06-06,cityhall,base.bg,5134,False,l10n_bg_city.S10447,l10n_bg_city.16359,
l10n_bg_city.40195,40195,40195,l10n_bg_city.village,Krushovene,Крушовене,PVN10-08,cityhall,base.bg,5860,False,l10n_bg_city.S56722,l10n_bg_city.22215,
l10n_bg_city.40200,40200,40200,l10n_bg_city.village,Krushovitsa,Крушовица,VRC28-02,cityhall,base.bg,3349,False,l10n_bg_city.S12259,l10n_bg_city.48043,
l10n_bg_city.40213,40213,40213,l10n_bg_city.village,Krushovitsa,Крушовица,PVN11-04,cityhall,base.bg,5881,False,l10n_bg_city.S56722,l10n_bg_city.22407,
l10n_bg_city.40261,40261,40261,l10n_bg_city.village,Krushuna,Крушуна,LOV17-02,cityhall,base.bg,5561,False,l10n_bg_city.S43952,l10n_bg_city.43476,
l10n_bg_city.40275,40275,40275,l10n_bg_city.village,Kravenik,Кръвеник,GAB29-18,cityhall,base.bg,5460,False,l10n_bg_city.S14218,l10n_bg_city.65927,
l10n_bg_city.40292,40292,40292,l10n_bg_city.town,Kran,Крън,SZR12-08,cityhall,base.bg,6140,False,l10n_bg_city.S68850,l10n_bg_city.35167,
l10n_bg_city.41136,41136,41136,l10n_bg_city.village,Krastava,Кръстава,PAZ08-09,cityhall,base.bg,4630,False,l10n_bg_city.S55155,l10n_bg_city.10450,
