id,l10n_bg_ecattu,l10n_bg_type_settlement_id/id,name,l10n_bg_code,l10n_bg_structure_type,country_id/id,zipcode,l10n_bg_has_tax_office
l10n_bg.02631,02631,l10n_bg_city.village,Банковци,GAB05-00,normal,base.bg,,False
l10n_bg.02645,02645,l10n_bg_city.village,Банкя,PER51-00,normal,base.bg,,False
l10n_bg.02659,02659,l10n_bg_city.town,Банкя,SOF46-00,normal,base.bg,,False
l10n_bg.02662,02662,l10n_bg_city.village,Баново,VAR26-00,normal,base.bg,,False
l10n_bg.02689,02689,l10n_bg_city.village,Банчовци,SFO20-00,normal,base.bg,,False
l10n_bg.02806,02806,l10n_bg_city.village,Баскалци,BLG33-00,normal,base.bg,,False
l10n_bg.02899,02899,l10n_bg_city.village,Батулия,SFO43-00,normal,base.bg,,False
l10n_bg.02926,02926,l10n_bg_city.village,Бахалин,SFO45-00,normal,base.bg,,False
l10n_bg.02943,02943,l10n_bg_city.village,Бахреци,GAB35-00,normal,base.bg,,False
l10n_bg.03023,03023,l10n_bg_city.village,Бащино,SZR23-00,normal,base.bg,,False
l10n_bg.03040,03040,l10n_bg_city.village,Бдинци,DOB15-00,normal,base.bg,,False
l10n_bg.03126,03126,l10n_bg_city.village,Беджене,SHU22-00,normal,base.bg,,False
l10n_bg.03157,03157,l10n_bg_city.village,Бежаново,DOB12-00,normal,base.bg,,False
l10n_bg.03188,03188,l10n_bg_city.village,Безводно,KRZ35-00,normal,base.bg,,False
l10n_bg.03232,03232,l10n_bg_city.village,Бейковци,VTR13-00,normal,base.bg,,False
l10n_bg.03246,03246,l10n_bg_city.village,Бекриите,GAB05-00,normal,base.bg,,False
l10n_bg.03263,03263,l10n_bg_city.village,Бела,VID16-00,normal,base.bg,,False
l10n_bg.03277,03277,l10n_bg_city.village,Беланица,PER36-00,normal,base.bg,,False
l10n_bg.03321,03321,l10n_bg_city.village,Белев дол,SML31-00,normal,base.bg,,False
l10n_bg.03335,03335,l10n_bg_city.village,Белевехчево,BLG40-00,normal,base.bg,,False
l10n_bg.03349,03349,l10n_bg_city.village,Белеврен,BGS06-00,normal,base.bg,,False
l10n_bg.03383,03383,l10n_bg_city.village,Бели брег,MON04-00,normal,base.bg,,False
l10n_bg.03407,03407,l10n_bg_city.village,Бели бряг,SZR27-00,normal,base.bg,,False
l10n_bg.03424,03424,l10n_bg_city.village,Бели дол,HKV11-04,normal,base.bg,,False
l10n_bg.03455,03455,l10n_bg_city.village,Белила,BGS06-00,normal,base.bg,,False
l10n_bg.03513,03513,l10n_bg_city.village,Белица,GAB35-00,normal,base.bg,,False
l10n_bg.07960,07960,l10n_bg_city.village,Белица,SFO20-00,normal,base.bg,,False
l10n_bg.03650,03650,l10n_bg_city.village,Беломъжите,GAB05-00,normal,base.bg,,False
l10n_bg.03753,03753,l10n_bg_city.village,Белчевци,VTR04-09,normal,base.bg,,False
l10n_bg.03770,03770,l10n_bg_city.village,Белчински бани,SFO39-03,normal,base.bg,,False
l10n_bg.03784,03784,l10n_bg_city.village,Бельово,BLG40-00,normal,base.bg,,False
l10n_bg.03842,03842,l10n_bg_city.village,Бенковски,SFO56-00,normal,base.bg,,False
l10n_bg.03856,03856,l10n_bg_city.village,Бенковски,SZR31-00,normal,base.bg,,False
l10n_bg.03873,03873,l10n_bg_city.village,Берайнци,PER51-00,normal,base.bg,,False
l10n_bg.03887,03887,l10n_bg_city.village,Беренде,PER19-00,normal,base.bg,,False
l10n_bg.03890,03890,l10n_bg_city.village,Беренде,SFO16-00,normal,base.bg,,False
l10n_bg.03900,03900,l10n_bg_city.village,Беренде извор,SFO16-00,normal,base.bg,,False
l10n_bg.03931,03931,l10n_bg_city.village,Берковски,TGV24-00,normal,base.bg,,False
l10n_bg.03945,03945,l10n_bg_city.village,Берковци,VTR13-00,normal,base.bg,,False
l10n_bg.03959,03959,l10n_bg_city.village,Бероново,BGS23-00,normal,base.bg,,False
l10n_bg.03986,03986,l10n_bg_city.village,Беснурка,KRZ35-36,normal,base.bg,,False
