id,l10n_bg_ecattu,l10n_bg_type_settlement_id/id,name,l10n_bg_code,state_id/id,l10n_bg_municipality_id/id,l10n_bg_city_hall_id/id,l10n_bg_structure_type,country_id/id
l10n_bg.03246,3246,l10n_bg_city.village,Bekriite,GAB05-00,l10n_bg.S14218,l10n_bg.14218,,normal,base.bg
l10n_bg.03263,3263,l10n_bg_city.village,Bela,VID16-00,l10n_bg.S10971,l10n_bg.21097,,normal,base.bg
l10n_bg.03277,3277,l10n_bg_city.village,Belanitsa,PER36-00,l10n_bg.S55871,l10n_bg.61577,,normal,base.bg
l10n_bg.03321,3321,l10n_bg_city.village,Belev dol,SML31-00,l10n_bg.S67653,l10n_bg.67653,,normal,base.bg
l10n_bg.03335,3335,l10n_bg_city.village,Belevehchevo,BLG40-00,l10n_bg.S04279,l10n_bg.65334,,normal,base.bg
l10n_bg.03349,3349,l10n_bg_city.village,Belevren,BGS06-00,l10n_bg.S07079,l10n_bg.17974,,normal,base.bg
l10n_bg.03383,3383,l10n_bg_city.village,Beli breg,MON04-00,l10n_bg.S48489,l10n_bg.05236,,normal,base.bg
l10n_bg.03407,3407,l10n_bg_city.village,Beli bryag,SZR27-00,l10n_bg.S68850,l10n_bg.61460,,normal,base.bg
l10n_bg.03424,3424,l10n_bg_city.village,Beli dol,HKV11-04,l10n_bg.S77195,l10n_bg.32024,l10n_bg.18054,normal,base.bg
l10n_bg.03455,3455,l10n_bg_city.village,Belila,BGS06-00,l10n_bg.S07079,l10n_bg.17974,,normal,base.bg
l10n_bg.03513,3513,l10n_bg_city.village,Belitsa,GAB35-00,l10n_bg.S14218,l10n_bg.73403,,normal,base.bg
l10n_bg.07960,7960,l10n_bg_city.village,Belitsa,SFO20-00,l10n_bg.S68134,l10n_bg.32901,,normal,base.bg
l10n_bg.03650,3650,l10n_bg_city.village,Belomazhite,GAB05-00,l10n_bg.S14218,l10n_bg.14218,,normal,base.bg
l10n_bg.03753,3753,l10n_bg_city.village,Belchevtsi,VTR04-09,l10n_bg.S10447,l10n_bg.10447,l10n_bg.12098,normal,base.bg
l10n_bg.03770,3770,l10n_bg_city.village,Belchinski bani,SFO39-03,l10n_bg.S68134,l10n_bg.65231,l10n_bg.03767,normal,base.bg
l10n_bg.03784,3784,l10n_bg_city.village,Belyovo,BLG40-00,l10n_bg.S04279,l10n_bg.65334,,normal,base.bg
l10n_bg.03842,3842,l10n_bg_city.village,Benkovski,SFO56-00,l10n_bg.S68134,l10n_bg.48324,,normal,base.bg
l10n_bg.03856,3856,l10n_bg_city.village,Benkovski,SZR31-00,l10n_bg.S68850,l10n_bg.68850,,normal,base.bg
l10n_bg.03873,3873,l10n_bg_city.village,Berayntsi,PER51-00,l10n_bg.S55871,l10n_bg.73273,,normal,base.bg
l10n_bg.03887,3887,l10n_bg_city.village,Berende,PER19-00,l10n_bg.S55871,l10n_bg.30778,,normal,base.bg
l10n_bg.03890,3890,l10n_bg_city.village,Berende,SFO16-00,l10n_bg.S68134,l10n_bg.23409,,normal,base.bg
l10n_bg.03900,3900,l10n_bg_city.village,Berende izvor,SFO16-00,l10n_bg.S68134,l10n_bg.23409,,normal,base.bg
l10n_bg.03931,3931,l10n_bg_city.village,Berkovski,TGV24-00,l10n_bg.S73626,l10n_bg.57649,,normal,base.bg
l10n_bg.03945,3945,l10n_bg_city.village,Berkovtsi,VTR13-00,l10n_bg.S10447,l10n_bg.27190,,normal,base.bg
l10n_bg.03959,3959,l10n_bg_city.village,Beronovo,BGS23-00,l10n_bg.S07079,l10n_bg.70247,,normal,base.bg
l10n_bg.03986,3986,l10n_bg_city.village,Besnurka,KRZ35-36,l10n_bg.S40909,l10n_bg.81236,l10n_bg.80830,normal,base.bg
l10n_bg.04011,4011,l10n_bg_city.village,Bizhovtsi,VTR04-00,l10n_bg.S10447,l10n_bg.10447,,normal,base.bg
l10n_bg.04025,4025,l10n_bg_city.village,Bizhovtsi,GAB35-00,l10n_bg.S14218,l10n_bg.73403,,normal,base.bg
l10n_bg.04042,4042,l10n_bg_city.village,Bilintsi,PER08-00,l10n_bg.S55871,l10n_bg.06286,,normal,base.bg
l10n_bg.04068,4068,l10n_bg_city.village,Bilkini,GAB12-00,l10n_bg.S14218,l10n_bg.23947,,normal,base.bg
l10n_bg.04090,4090,l10n_bg_city.village,Bilo,DOB17-00,l10n_bg.S72624,l10n_bg.35064,,normal,base.bg
l10n_bg.04100,4100,l10n_bg_city.village,Bilyanska,SML31-00,l10n_bg.S67653,l10n_bg.67653,,normal,base.bg
