id,l10n_bg_ecattu,l10n_bg_type_settlement_id/id,name,l10n_bg_code,state_id/id,l10n_bg_municipality_id/id,l10n_bg_city_hall_id/id,l10n_bg_structure_type,country_id/id
l10n_bg.03842,03842,l10n_bg_city.village,Бенковски,SFO56-00,l10n_bg.S68134,l10n_bg.48324,,normal,base.bg
l10n_bg.03856,03856,l10n_bg_city.village,Бенковски,SZR31-00,l10n_bg.S68850,l10n_bg.68850,,normal,base.bg
l10n_bg.03873,03873,l10n_bg_city.village,Берайнци,PER51-00,l10n_bg.S55871,l10n_bg.73273,,normal,base.bg
l10n_bg.03887,03887,l10n_bg_city.village,Беренде,PER19-00,l10n_bg.S55871,l10n_bg.30778,,normal,base.bg
l10n_bg.03890,03890,l10n_bg_city.village,Беренде,SFO16-00,l10n_bg.S68134,l10n_bg.23409,,normal,base.bg
l10n_bg.03900,03900,l10n_bg_city.village,Беренде извор,SFO16-00,l10n_bg.S68134,l10n_bg.23409,,normal,base.bg
l10n_bg.03931,03931,l10n_bg_city.village,Берковски,TGV24-00,l10n_bg.S73626,l10n_bg.57649,,normal,base.bg
l10n_bg.03945,03945,l10n_bg_city.village,Берковци,VTR13-00,l10n_bg.S10447,l10n_bg.27190,,normal,base.bg
l10n_bg.03959,03959,l10n_bg_city.village,Бероново,BGS23-00,l10n_bg.S07079,l10n_bg.70247,,normal,base.bg
l10n_bg.03986,03986,l10n_bg_city.village,Беснурка,KRZ35-36,l10n_bg.S40909,l10n_bg.81236,l10n_bg.80830,normal,base.bg
l10n_bg.04011,04011,l10n_bg_city.village,Бижовци,VTR04-00,l10n_bg.S10447,l10n_bg.10447,,normal,base.bg
l10n_bg.04025,04025,l10n_bg_city.village,Бижовци,GAB35-00,l10n_bg.S14218,l10n_bg.73403,,normal,base.bg
l10n_bg.04042,04042,l10n_bg_city.village,Билинци,PER08-00,l10n_bg.S55871,l10n_bg.06286,,normal,base.bg
l10n_bg.04068,04068,l10n_bg_city.village,Билкини,GAB12-00,l10n_bg.S14218,l10n_bg.23947,,normal,base.bg
l10n_bg.04090,04090,l10n_bg_city.village,Било,DOB17-00,l10n_bg.S72624,l10n_bg.35064,,normal,base.bg
l10n_bg.04100,04100,l10n_bg_city.village,Билянска,SML31-00,l10n_bg.S67653,l10n_bg.67653,,normal,base.bg
l10n_bg.04176,04176,l10n_bg_city.village,Бистрец,BGS06-00,l10n_bg.S07079,l10n_bg.17974,,normal,base.bg
l10n_bg.04323,04323,l10n_bg_city.village,Блатец,KNL29-00,l10n_bg.S41112,l10n_bg.41112,,normal,base.bg
l10n_bg.04340,04340,l10n_bg_city.village,Блатешница,PER19-00,l10n_bg.S55871,l10n_bg.30778,,normal,base.bg
l10n_bg.04371,04371,l10n_bg_city.village,Блато,KNL04-00,l10n_bg.S41112,l10n_bg.04501,,normal,base.bg
l10n_bg.04412,04412,l10n_bg_city.village,Близнак,BGS12-00,l10n_bg.S07079,l10n_bg.46663,,normal,base.bg
l10n_bg.04443,04443,l10n_bg_city.village,Близнец,SLV24-00,l10n_bg.S67338,l10n_bg.72165,,normal,base.bg
l10n_bg.04460,04460,l10n_bg_city.village,Блъсковци,VTR13-00,l10n_bg.S10447,l10n_bg.27190,,normal,base.bg
l10n_bg.04474,04474,l10n_bg_city.village,Боазът,GAB29-00,l10n_bg.S14218,l10n_bg.65927,,normal,base.bg
l10n_bg.04488,04488,l10n_bg_city.village,Бобевци,GAB05-00,l10n_bg.S14218,l10n_bg.14218,,normal,base.bg
l10n_bg.04491,04491,l10n_bg_city.village,Бобешино,KNL29-00,l10n_bg.S41112,l10n_bg.41112,,normal,base.bg
l10n_bg.04529,04529,l10n_bg_city.village,Бобораци,PER36-00,l10n_bg.S55871,l10n_bg.61577,,normal,base.bg
l10n_bg.04546,04546,l10n_bg_city.village,Бов,SFO43-00,l10n_bg.S68134,l10n_bg.65869,,normal,base.bg
l10n_bg.04604,04604,l10n_bg_city.village,Богданлия,SFO17-00,l10n_bg.S68134,l10n_bg.27303,,normal,base.bg
l10n_bg.04621,04621,l10n_bg_city.village,Богданово,BGS06-00,l10n_bg.S07079,l10n_bg.17974,,normal,base.bg
l10n_bg.04649,04649,l10n_bg_city.village,Богдановци,SFO20-00,l10n_bg.S68134,l10n_bg.32901,,normal,base.bg
l10n_bg.04652,04652,l10n_bg_city.village,Богданско,VTR13-01,l10n_bg.S10447,l10n_bg.27190,l10n_bg.03054,normal,base.bg
l10n_bg.04683,04683,l10n_bg_city.village,Богданчовци,GAB05-00,l10n_bg.S14218,l10n_bg.14218,,normal,base.bg
l10n_bg.04697,04697,l10n_bg_city.village,Богойна,PER51-00,l10n_bg.S55871,l10n_bg.73273,,normal,base.bg
l10n_bg.04724,04724,l10n_bg_city.village,Богомил,HKV33-00,l10n_bg.S77195,l10n_bg.77181,,normal,base.bg
l10n_bg.04755,04755,l10n_bg_city.village,Богомолско,TGV02-00,l10n_bg.S73626,l10n_bg.00518,,normal,base.bg
l10n_bg.04772,04772,l10n_bg_city.village,Богорово,SLS31-00,l10n_bg.S66425,l10n_bg.66425,,normal,base.bg
l10n_bg.04786,04786,l10n_bg_city.village,Богорово,JAM22-00,l10n_bg.S87374,l10n_bg.69660,,normal,base.bg
l10n_bg.66322,66322,l10n_bg_city.village,Богородица,BLG33-00,l10n_bg.S04279,l10n_bg.56126,,normal,base.bg
l10n_bg.04813,04813,l10n_bg_city.village,Богьовци,SFO26-00,l10n_bg.S68134,l10n_bg.38978,,normal,base.bg
l10n_bg.04861,04861,l10n_bg_city.village,Боево,SML27-00,l10n_bg.S67653,l10n_bg.63207,,normal,base.bg
l10n_bg.04892,04892,l10n_bg_city.village,Боерица,SFO20-00,l10n_bg.S68134,l10n_bg.32901,,normal,base.bg
l10n_bg.04927,04927,l10n_bg_city.village,Божаново,DOB29-00,l10n_bg.S72624,l10n_bg.83017,,normal,base.bg
l10n_bg.04933,04933,l10n_bg_city.village,Бождово,BLG40-00,l10n_bg.S04279,l10n_bg.65334,,normal,base.bg
l10n_bg.04950,04950,l10n_bg_city.village,Боженица,SFO07-00,l10n_bg.S68134,l10n_bg.05815,,normal,base.bg
l10n_bg.04964,04964,l10n_bg_city.village,Боженците,GAB05-00,l10n_bg.S14218,l10n_bg.14218,,normal,base.bg
l10n_bg.04981,04981,l10n_bg_city.village,Божичен,RSE13-00,l10n_bg.S63427,l10n_bg.32095,,normal,base.bg
l10n_bg.05009,05009,l10n_bg_city.village,Божурец,DOB17-00,l10n_bg.S72624,l10n_bg.35064,,normal,base.bg
l10n_bg.05044,05044,l10n_bg_city.village,Божурлук,PVN16-00,l10n_bg.S56722,l10n_bg.43236,,normal,base.bg
l10n_bg.05092,05092,l10n_bg_city.village,Бозаджии,SLV20-00,l10n_bg.S67338,l10n_bg.67338,,normal,base.bg
l10n_bg.07853,07853,l10n_bg_city.village,Бозьова,PAZ08-00,l10n_bg.S55155,l10n_bg.10450,,normal,base.bg
l10n_bg.05147,05147,l10n_bg_city.village,Бойковец,SFO18-00,l10n_bg.S68134,l10n_bg.27632,,normal,base.bg
l10n_bg.05150,05150,l10n_bg_city.village,Бойково,PDV26-00,l10n_bg.S56784,l10n_bg.56784,,normal,base.bg
l10n_bg.05164,05164,l10n_bg_city.village,Бойковци,VTR13-00,l10n_bg.S10447,l10n_bg.27190,,normal,base.bg
l10n_bg.05181,05181,l10n_bg_city.village,Бойник,KRZ15-42,l10n_bg.S40909,l10n_bg.39970,l10n_bg.70104,normal,base.bg
l10n_bg.05219,05219,l10n_bg_city.village,Бойновци,GAB05-00,l10n_bg.S14218,l10n_bg.14218,,normal,base.bg
l10n_bg.05222,05222,l10n_bg_city.village,Бойчеви колиби,VTR04-00,l10n_bg.S10447,l10n_bg.10447,,normal,base.bg
l10n_bg.07908,07908,l10n_bg_city.village,Бойчета,GAB05-27,l10n_bg.S14218,l10n_bg.14218,l10n_bg.81904,normal,base.bg
l10n_bg.05240,05240,l10n_bg_city.village,Бойчовци,VTR04-09,l10n_bg.S10447,l10n_bg.10447,l10n_bg.12098,normal,base.bg
l10n_bg.05253,05253,l10n_bg_city.village,Бокиловци,MON02-00,l10n_bg.S48489,l10n_bg.03928,,normal,base.bg
l10n_bg.05267,05267,l10n_bg_city.village,Болтата,GAB05-00,l10n_bg.S14218,l10n_bg.14218,,normal,base.bg
l10n_bg.07870,07870,l10n_bg_city.village,Бор,PDV01-00,l10n_bg.S56784,l10n_bg.00702,,normal,base.bg
l10n_bg.05387,05387,l10n_bg_city.village,Борика,SML16-00,l10n_bg.S67653,l10n_bg.46045,,normal,base.bg
l10n_bg.05390,05390,l10n_bg_city.village,Борика,SFO20-00,l10n_bg.S68134,l10n_bg.32901,,normal,base.bg
l10n_bg.05400,05400,l10n_bg_city.village,Борики,GAB05-00,l10n_bg.S14218,l10n_bg.14218,,normal,base.bg
l10n_bg.05414,05414,l10n_bg_city.village,Бориково,SML31-00,l10n_bg.S67653,l10n_bg.67653,,normal,base.bg
l10n_bg.05520,05520,l10n_bg_city.village,Борисово,JAM07-00,l10n_bg.S87374,l10n_bg.27382,,normal,base.bg
l10n_bg.05534,05534,l10n_bg_city.village,Борнарево,PER36-00,l10n_bg.S55871,l10n_bg.61577,,normal,base.bg
l10n_bg.05565,05565,l10n_bg_city.village,Боровец,KNL27-00,l10n_bg.S41112,l10n_bg.39116,,normal,base.bg
l10n_bg.05596,05596,l10n_bg_city.village,Боровичене,BLG33-00,l10n_bg.S04279,l10n_bg.56126,,normal,base.bg
l10n_bg.05623,05623,l10n_bg_city.village,Борово,PDV15-00,l10n_bg.S56784,l10n_bg.44478,,normal,base.bg
l10n_bg.05637,05637,l10n_bg_city.village,Борово,SZR31-00,l10n_bg.S68850,l10n_bg.68850,,normal,base.bg
l10n_bg.05640,05640,l10n_bg_city.village,Боровско,KRZ35-36,l10n_bg.S40909,l10n_bg.81236,l10n_bg.80830,normal,base.bg
l10n_bg.05668,05668,l10n_bg_city.village,Борското,GAB05-07,l10n_bg.S14218,l10n_bg.14218,l10n_bg.18215,normal,base.bg
l10n_bg.05671,05671,l10n_bg_city.village,Борущица,SZR22-00,l10n_bg.S68850,l10n_bg.49494,,normal,base.bg
l10n_bg.05709,05709,l10n_bg_city.village,Босевци,VTR13-01,l10n_bg.S10447,l10n_bg.27190,l10n_bg.03054,normal,base.bg
l10n_bg.05712,05712,l10n_bg_city.village,Босилица,KRZ35-36,l10n_bg.S40909,l10n_bg.81236,l10n_bg.80830,normal,base.bg
l10n_bg.05726,05726,l10n_bg_city.village,Босилково,BGS23-00,l10n_bg.S07079,l10n_bg.70247,,normal,base.bg
l10n_bg.05737,05737,l10n_bg_city.village,Босилково,SML02-00,l10n_bg.S67653,l10n_bg.44402,,normal,base.bg
l10n_bg.05760,05760,l10n_bg_city.village,Боснек,PER32-00,l10n_bg.S55871,l10n_bg.55871,,normal,base.bg
l10n_bg.05832,05832,l10n_bg_city.village,Ботево,VID09-00,l10n_bg.S10971,l10n_bg.10971,,normal,base.bg
l10n_bg.05846,05846,l10n_bg_city.village,Ботево,VRC35-00,l10n_bg.S12259,l10n_bg.77102,,normal,base.bg
l10n_bg.05852,05852,l10n_bg_city.village,Ботево,MON11-00,l10n_bg.S48489,l10n_bg.12543,,normal,base.bg
l10n_bg.05904,05904,l10n_bg_city.village,Ботурче,HKV11-04,l10n_bg.S77195,l10n_bg.32024,l10n_bg.18054,normal,base.bg
l10n_bg.05918,05918,l10n_bg_city.village,Бохова,PER51-00,l10n_bg.S55871,l10n_bg.73273,,normal,base.bg
l10n_bg.05935,05935,l10n_bg_city.village,Бочковци,VTR04-00,l10n_bg.S10447,l10n_bg.10447,,normal,base.bg
l10n_bg.05997,05997,l10n_bg_city.village,Бояново,VID15-00,l10n_bg.S10971,l10n_bg.17645,,normal,base.bg
l10n_bg.06015,06015,l10n_bg_city.village,Бояновци,VTR04-00,l10n_bg.S10447,l10n_bg.10447,,normal,base.bg
l10n_bg.06046,06046,l10n_bg_city.village,Бракница,TGV24-00,l10n_bg.S73626,l10n_bg.57649,,normal,base.bg
l10n_bg.06050,06050,l10n_bg_city.village,Бракьовци,SFO09-00,l10n_bg.S68134,l10n_bg.15309,,normal,base.bg
l10n_bg.06118,06118,l10n_bg_city.village,Бранковци,VTR04-00,l10n_bg.S10447,l10n_bg.10447,,normal,base.bg
l10n_bg.06121,06121,l10n_bg_city.village,Бранковци,VID15-00,l10n_bg.S10971,l10n_bg.17645,,normal,base.bg
l10n_bg.06135,06135,l10n_bg_city.village,Братан,SLV11-00,l10n_bg.S67338,l10n_bg.39030,,normal,base.bg
l10n_bg.06175,06175,l10n_bg_city.village,Братушково,SFO45-00,l10n_bg.S68134,l10n_bg.67372,,normal,base.bg
l10n_bg.07939,07939,l10n_bg_city.village,Брежана,KRZ08-18,l10n_bg.S40909,l10n_bg.20746,l10n_bg.73715,normal,base.bg
l10n_bg.06241,06241,l10n_bg_city.village,Брежниците,GAB35-04,l10n_bg.S14218,l10n_bg.73403,l10n_bg.56719,normal,base.bg
l10n_bg.06255,06255,l10n_bg_city.village,Бреза,SML27-09,l10n_bg.S67653,l10n_bg.63207,l10n_bg.80399,normal,base.bg
l10n_bg.06313,06313,l10n_bg_city.village,Брезнишки извор,PER08-00,l10n_bg.S55871,l10n_bg.06286,,normal,base.bg
l10n_bg.06327,06327,l10n_bg_city.village,Брезовдол,SFO43-00,l10n_bg.S68134,l10n_bg.65869,,normal,base.bg
l10n_bg.06344,06344,l10n_bg_city.village,Брезово,VTR13-00,l10n_bg.S10447,l10n_bg.27190,,normal,base.bg
l10n_bg.06392,06392,l10n_bg_city.village,Брест,KNL50-00,l10n_bg.S41112,l10n_bg.73047,,normal,base.bg
l10n_bg.06421,06421,l10n_bg_city.village,Брестака,SFO56-00,l10n_bg.S68134,l10n_bg.48324,,normal,base.bg
l10n_bg.06464,06464,l10n_bg_city.village,Брестница,DOB27-00,l10n_bg.S72624,l10n_bg.72271,,normal,base.bg
l10n_bg.06478,06478,l10n_bg_city.village,Брестова,SZR37-00,l10n_bg.S68850,l10n_bg.18157,,normal,base.bg
l10n_bg.06522,06522,l10n_bg_city.village,Брестово,BLG44-00,l10n_bg.S04279,l10n_bg.66460,,normal,base.bg
l10n_bg.06536,06536,l10n_bg_city.village,Брестово,LOV18-00,l10n_bg.S43952,l10n_bg.43952,,normal,base.bg
l10n_bg.06584,06584,l10n_bg_city.village,Брусевци,HKV18-00,l10n_bg.S77195,l10n_bg.46084,,normal,base.bg
l10n_bg.06625,06625,l10n_bg_city.village,Брусино,HKV11-16,l10n_bg.S77195,l10n_bg.32024,l10n_bg.56633,normal,base.bg
l10n_bg.06639,06639,l10n_bg_city.village,Брусник,PER08-00,l10n_bg.S55871,l10n_bg.06286,,normal,base.bg
l10n_bg.06642,06642,l10n_bg_city.village,Брънеците,GAB05-09,l10n_bg.S14218,l10n_bg.14218,l10n_bg.22959,normal,base.bg
l10n_bg.06662,06662,l10n_bg_city.village,Бръчковци,VTR13-00,l10n_bg.S10447,l10n_bg.27190,,normal,base.bg
l10n_bg.06687,06687,l10n_bg_city.village,Бръшлян,BGS12-00,l10n_bg.S07079,l10n_bg.46663,,normal,base.bg
l10n_bg.06793,06793,l10n_bg_city.village,Брястово,DOB03-03,l10n_bg.S72624,l10n_bg.02508,l10n_bg.18160,normal,base.bg
l10n_bg.06817,06817,l10n_bg_city.village,Бубино,HKV11-00,l10n_bg.S77195,l10n_bg.32024,,normal,base.bg
l10n_bg.06851,06851,l10n_bg_city.village,Бузяковци,SFO20-00,l10n_bg.S68134,l10n_bg.32901,,normal,base.bg
l10n_bg.06919,06919,l10n_bg_city.village,Букак,TGV02-00,l10n_bg.S73626,l10n_bg.00518,,normal,base.bg
l10n_bg.06923,06923,l10n_bg_city.village,Буката,SML31-00,l10n_bg.S67653,l10n_bg.67653,,normal,base.bg
l10n_bg.02988,02988,l10n_bg_city.village,Букаците,SML31-00,l10n_bg.S67653,l10n_bg.67653,,normal,base.bg
l10n_bg.06940,06940,l10n_bg_city.village,Буковец,VTR04-00,l10n_bg.S10447,l10n_bg.10447,,normal,base.bg
l10n_bg.06985,06985,l10n_bg_city.village,Буковец,SFO43-00,l10n_bg.S68134,l10n_bg.65869,,normal,base.bg
l10n_bg.07020,07020,l10n_bg_city.village,Букоровци,SFO09-00,l10n_bg.S68134,l10n_bg.15309,,normal,base.bg
l10n_bg.07048,07048,l10n_bg_city.village,Буново,KNL29-00,l10n_bg.S41112,l10n_bg.41112,,normal,base.bg
l10n_bg.07096,07096,l10n_bg_city.village,Бусинци,PER51-00,l10n_bg.S55871,l10n_bg.73273,,normal,base.bg
l10n_bg.07137,07137,l10n_bg_city.village,Бутроинци,PER51-00,l10n_bg.S55871,l10n_bg.73273,,normal,base.bg
l10n_bg.07168,07168,l10n_bg_city.village,Бучино,BLG03-00,l10n_bg.S04279,l10n_bg.04279,,normal,base.bg
l10n_bg.07185,07185,l10n_bg_city.village,Бучуковци,GAB12-02,l10n_bg.S14218,l10n_bg.23947,l10n_bg.12677,normal,base.bg
