id,l10n_bg_ecattu,l10n_bg_type_settlement_id/id,name,l10n_bg_code,state_id/id,l10n_bg_municipality_id/id,l10n_bg_structure_type,country_id/id
l10n_bg.00014,00014,l10n_bg.village,Абланица,BLG52-01,l10n_bg.S04279,l10n_bg.77058,cityhall,base.bg
l10n_bg.00028,00028,l10n_bg.village,Абланица,LOV18-01,l10n_bg.S43952,l10n_bg.43952,cityhall,base.bg
l10n_bg.00881,00881,l10n_bg.village,Абланица,PAZ08-01,l10n_bg.S55155,l10n_bg.10450,cityhall,base.bg
l10n_bg.00031,00031,l10n_bg.village,Абрит,DOB20-01,l10n_bg.S72624,l10n_bg.40097,cityhall,base.bg
l10n_bg.00059,00059,l10n_bg.village,Аврамово,BLG53-01,l10n_bg.S04279,l10n_bg.87338,cityhall,base.bg
l10n_bg.00093,00093,l10n_bg.village,Аврен,KRZ15-01,l10n_bg.S40909,l10n_bg.39970,cityhall,base.bg
l10n_bg.00103,00103,l10n_bg.village,Агатово,GAB29-01,l10n_bg.S14218,l10n_bg.65927,cityhall,base.bg
l10n_bg.00895,00895,l10n_bg.village,Айдемир,SLS31-01,l10n_bg.S66425,l10n_bg.66425,cityhall,base.bg
l10n_bg.00148,00148,l10n_bg.village,Айрово,KRZ16-50,l10n_bg.S40909,l10n_bg.40909,cityhall,base.bg
l10n_bg.00165,00165,l10n_bg.village,Аканджиево,PAZ04-07,l10n_bg.S55155,l10n_bg.03592,cityhall,base.bg
l10n_bg.00196,00196,l10n_bg.village,Аламовци,SML11-01,l10n_bg.S67653,l10n_bg.31111,cityhall,base.bg
l10n_bg.00215,00215,l10n_bg.village,Алваново,TGV35-01,l10n_bg.S73626,l10n_bg.73626,cityhall,base.bg
l10n_bg.00223,00223,l10n_bg.village,Алдомировци,SFO45-01,l10n_bg.S68134,l10n_bg.67372,cityhall,base.bg
l10n_bg.00254,00254,l10n_bg.village,Алеко Константиново,PAZ19-01,l10n_bg.S55155,l10n_bg.55155,cityhall,base.bg
l10n_bg.00237,00237,l10n_bg.village,Алеково,VTR28-01,l10n_bg.S10447,l10n_bg.65766,cityhall,base.bg
l10n_bg.00240,00240,l10n_bg.village,Алеково,SLS01-01,l10n_bg.S66425,l10n_bg.00415,cityhall,base.bg
l10n_bg.00285,00285,l10n_bg.village,Александрово,VTR28-02,l10n_bg.S10447,l10n_bg.65766,cityhall,base.bg
l10n_bg.00299,00299,l10n_bg.village,Александрово,LOV18-02,l10n_bg.S43952,l10n_bg.43952,cityhall,base.bg
l10n_bg.00309,00309,l10n_bg.village,Александрово,SZR24-01,l10n_bg.S68850,l10n_bg.55021,cityhall,base.bg
l10n_bg.00312,00312,l10n_bg.village,Александрово,TGV35-02,l10n_bg.S73626,l10n_bg.73626,cityhall,base.bg
l10n_bg.00326,00326,l10n_bg.village,Александрово,HKV34-01,l10n_bg.S77195,l10n_bg.77195,cityhall,base.bg
l10n_bg.00343,00343,l10n_bg.village,Александрово,JAM22-01,l10n_bg.S87374,l10n_bg.69660,cityhall,base.bg
l10n_bg.83421,83421,l10n_bg.village,Алендарова,PAZ08-19,l10n_bg.S55155,l10n_bg.10450,cityhall,base.bg
l10n_bg.00391,00391,l10n_bg.village,Алино,SFO39-01,l10n_bg.S68134,l10n_bg.65231,cityhall,base.bg
l10n_bg.00401,00401,l10n_bg.village,Алтимир,VRC08-01,l10n_bg.S12259,l10n_bg.07702,cityhall,base.bg
l10n_bg.00429,00429,l10n_bg.village,Алцек,DOB15-02,l10n_bg.S72624,l10n_bg.72624,cityhall,base.bg
l10n_bg.00446,00446,l10n_bg.village,Ангел войвода,HKV19-01,l10n_bg.S77195,l10n_bg.48297,cityhall,base.bg
l10n_bg.00432,00432,l10n_bg.village,Ангеларий,DOB27-01,l10n_bg.S72624,l10n_bg.72271,cityhall,base.bg
l10n_bg.00480,00480,l10n_bg.village,Анево,PDV43-01,l10n_bg.S56784,l10n_bg.68080,cityhall,base.bg
l10n_bg.00919,00919,l10n_bg.village,Антимово,VID09-02,l10n_bg.S10971,l10n_bg.10971,cityhall,base.bg
l10n_bg.00549,00549,l10n_bg.village,Априлово,SFO10-01,l10n_bg.S68134,l10n_bg.16314,cityhall,base.bg
l10n_bg.00552,00552,l10n_bg.village,Априлово,SZR07-01,l10n_bg.S68850,l10n_bg.18280,cityhall,base.bg
l10n_bg.00566,00566,l10n_bg.village,Априлово,TGV24-01,l10n_bg.S73626,l10n_bg.57649,cityhall,base.bg
l10n_bg.00571,00571,l10n_bg.village,Априлци,PAZ19-02,l10n_bg.S55155,l10n_bg.55155,cityhall,base.bg
l10n_bg.00905,00905,l10n_bg.village,Априлци,KRZ14-48,l10n_bg.S40909,l10n_bg.36926,cityhall,base.bg
l10n_bg.00583,00583,l10n_bg.village,Арбанаси,VTR04-01,l10n_bg.S10447,l10n_bg.10447,cityhall,base.bg
l10n_bg.00597,00597,l10n_bg.village,Арда,SML31-01,l10n_bg.S67653,l10n_bg.67653,cityhall,base.bg
l10n_bg.00655,00655,l10n_bg.village,Арнаутито,SZR31-01,l10n_bg.S68850,l10n_bg.68850,cityhall,base.bg
l10n_bg.00672,00672,l10n_bg.village,Арчар,VID16-01,l10n_bg.S10971,l10n_bg.21097,cityhall,base.bg
l10n_bg.00697,00697,l10n_bg.village,Асен,SZR24-02,l10n_bg.S68850,l10n_bg.55021,cityhall,base.bg
l10n_bg.00713,00713,l10n_bg.village,Асеновец,SLV16-01,l10n_bg.S67338,l10n_bg.51809,cityhall,base.bg
l10n_bg.00730,00730,l10n_bg.village,Асеново,VTR31-01,l10n_bg.S10447,l10n_bg.69633,cityhall,base.bg
l10n_bg.00744,00744,l10n_bg.village,Асеново,PVN21-16,l10n_bg.S56722,l10n_bg.51723,cityhall,base.bg
l10n_bg.00761,00761,l10n_bg.village,Асеновци,PVN16-01,l10n_bg.S56722,l10n_bg.43236,cityhall,base.bg
l10n_bg.00775,00775,l10n_bg.village,Аспарухово,BGS09-01,l10n_bg.S07079,l10n_bg.36525,cityhall,base.bg
l10n_bg.00789,00789,l10n_bg.village,Аспарухово,VAR16-02,l10n_bg.S10135,l10n_bg.24565,cityhall,base.bg
l10n_bg.00792,00792,l10n_bg.village,Аспарухово,MON26-01,l10n_bg.S48489,l10n_bg.47593,cityhall,base.bg
l10n_bg.00802,00802,l10n_bg.village,Аспарухово,PVN16-02,l10n_bg.S56722,l10n_bg.43236,cityhall,base.bg
l10n_bg.63015,63015,l10n_bg.village,Атия,BGS21-13,l10n_bg.S07079,l10n_bg.67800,cityhall,base.bg
l10n_bg.00816,00816,l10n_bg.village,Атолово,JAM22-02,l10n_bg.S87374,l10n_bg.69660,cityhall,base.bg
l10n_bg.00828,00828,l10n_bg.village,Ауста,KRZ21-30,l10n_bg.S40909,l10n_bg.48996,cityhall,base.bg
l10n_bg.00833,00833,l10n_bg.town,Ахелой,BGS17-02,l10n_bg.S07079,l10n_bg.57491,cityhall,base.bg
l10n_bg.00847,00847,l10n_bg.village,Ахматово,PDV28-12,l10n_bg.S56784,l10n_bg.65139,cityhall,base.bg
l10n_bg.00864,00864,l10n_bg.village,Ахрянско,KRZ02-01,l10n_bg.S40909,l10n_bg.00607,cityhall,base.bg
l10n_bg.00878,00878,l10n_bg.town,Ахтопол,BGS13-01,l10n_bg.S07079,l10n_bg.48619,cityhall,base.bg
l10n_bg.02021,02021,l10n_bg.village,Баба Тонка,TGV24-02,l10n_bg.S73626,l10n_bg.57649,cityhall,base.bg
l10n_bg.02049,02049,l10n_bg.village,Бабино,KNL04-14,l10n_bg.S41112,l10n_bg.04501,cityhall,base.bg
l10n_bg.07884,07884,l10n_bg.village,Бабинци,LOV33-14,l10n_bg.S43952,l10n_bg.72343,cityhall,base.bg
l10n_bg.02083,02083,l10n_bg.village,Бабово,RSE33-01,l10n_bg.S63427,l10n_bg.67444,cityhall,base.bg
l10n_bg.02097,02097,l10n_bg.village,Бабук,SLS31-02,l10n_bg.S66425,l10n_bg.66425,cityhall,base.bg
l10n_bg.02107,02107,l10n_bg.village,Бабяк,BLG02-01,l10n_bg.S04279,l10n_bg.03504,cityhall,base.bg
l10n_bg.02124,02124,l10n_bg.village,Багра,KRZ16-51,l10n_bg.S40909,l10n_bg.40909,cityhall,base.bg
l10n_bg.02138,02138,l10n_bg.village,Багренци,KNL29-01,l10n_bg.S41112,l10n_bg.41112,cityhall,base.bg
l10n_bg.02141,02141,l10n_bg.village,Багрилци,KRZ15-02,l10n_bg.S40909,l10n_bg.39970,cityhall,base.bg
l10n_bg.02155,02155,l10n_bg.village,Багрянка,KRZ21-01,l10n_bg.S40909,l10n_bg.48996,cityhall,base.bg
l10n_bg.02227,02227,l10n_bg.village,Байкал,PVN10-01,l10n_bg.S56722,l10n_bg.22215,cityhall,base.bg
l10n_bg.02244,02244,l10n_bg.village,Байково,SHU11-01,l10n_bg.S83510,l10n_bg.14516,cityhall,base.bg
l10n_bg.02258,02258,l10n_bg.village,Байлово,SFO10-02,l10n_bg.S68134,l10n_bg.16314,cityhall,base.bg
l10n_bg.02261,02261,l10n_bg.village,Бакалите,KRZ35-23,l10n_bg.S40909,l10n_bg.81236,cityhall,base.bg
l10n_bg.02292,02292,l10n_bg.village,Балабаново,KRZ21-02,l10n_bg.S40909,l10n_bg.48996,cityhall,base.bg
l10n_bg.02350,02350,l10n_bg.village,Баланово,KNL48-01,l10n_bg.S41112,l10n_bg.68789,cityhall,base.bg
l10n_bg.02364,02364,l10n_bg.village,Балван,VTR04-02,l10n_bg.S10447,l10n_bg.10447,cityhall,base.bg
l10n_bg.02381,02381,l10n_bg.village,Балдево,BLG13-01,l10n_bg.S04279,l10n_bg.18366,cityhall,base.bg
l10n_bg.02395,02395,l10n_bg.village,Балей,VID06-01,l10n_bg.S10971,l10n_bg.06224,cityhall,base.bg
l10n_bg.02405,02405,l10n_bg.village,Балик,DOB27-02,l10n_bg.S72624,l10n_bg.72271,cityhall,base.bg
l10n_bg.02436,02436,l10n_bg.village,Балкан,HKV30-12,l10n_bg.S77195,l10n_bg.68727,cityhall,base.bg
l10n_bg.02448,02448,l10n_bg.village,Балканец,LOV34-02,l10n_bg.S43952,l10n_bg.73198,cityhall,base.bg
l10n_bg.02467,02467,l10n_bg.village,Балкански,RAZ26-01,l10n_bg.S61710,l10n_bg.61710,cityhall,base.bg
l10n_bg.02470,02470,l10n_bg.village,Балканци,VTR31-02,l10n_bg.S10447,l10n_bg.69633,cityhall,base.bg
l10n_bg.02511,02511,l10n_bg.village,Балша,SOF46-36,l10n_bg.S68134,l10n_bg.68134,cityhall,base.bg
l10n_bg.02587,02587,l10n_bg.village,Баниска,RSE08-01,l10n_bg.S63427,l10n_bg.20184,cityhall,base.bg
l10n_bg.02590,02590,l10n_bg.village,Баница,VRC10-01,l10n_bg.S12259,l10n_bg.12259,cityhall,base.bg
l10n_bg.02600,02600,l10n_bg.village,Баничан,BLG11-01,l10n_bg.S04279,l10n_bg.17395,cityhall,base.bg
l10n_bg.02693,02693,l10n_bg.village,Баня,BLG37-01,l10n_bg.S04279,l10n_bg.61813,cityhall,base.bg
l10n_bg.02703,02703,l10n_bg.village,Баня,BGS15-01,l10n_bg.S07079,l10n_bg.51500,cityhall,base.bg
l10n_bg.02717,02717,l10n_bg.village,Баня,PAZ20-01,l10n_bg.S55155,l10n_bg.55302,cityhall,base.bg
l10n_bg.02720,02720,l10n_bg.town,Баня,PDV13-01,l10n_bg.S56784,l10n_bg.36498,cityhall,base.bg
l10n_bg.02734,02734,l10n_bg.village,Баня,SLV16-02,l10n_bg.S67338,l10n_bg.51809,cityhall,base.bg
l10n_bg.02748,02748,l10n_bg.village,Бараково,KNL27-01,l10n_bg.S41112,l10n_bg.39116,cityhall,base.bg
l10n_bg.02751,02751,l10n_bg.village,Бараци,KRZ15-60,l10n_bg.S40909,l10n_bg.39970,cityhall,base.bg
l10n_bg.02779,02779,l10n_bg.village,Барутин,SML10-01,l10n_bg.S67653,l10n_bg.23025,cityhall,base.bg
l10n_bg.02796,02796,l10n_bg.village,Басарбово,RSE27-01,l10n_bg.S63427,l10n_bg.63427,cityhall,base.bg
l10n_bg.02810,02810,l10n_bg.village,Бата,BGS17-03,l10n_bg.S07079,l10n_bg.57491,cityhall,base.bg
l10n_bg.02823,02823,l10n_bg.village,Батак,VTR22-01,l10n_bg.S10447,l10n_bg.55052,cityhall,base.bg
l10n_bg.72223,72223,l10n_bg.town,Батановци,PER32-18,l10n_bg.S55871,l10n_bg.55871,cityhall,base.bg
l10n_bg.02854,02854,l10n_bg.village,Батин,RSE03-01,l10n_bg.S63427,l10n_bg.05611,cityhall,base.bg
l10n_bg.02868,02868,l10n_bg.village,Батишница,RSE08-02,l10n_bg.S63427,l10n_bg.20184,cityhall,base.bg
l10n_bg.02871,02871,l10n_bg.village,Батово,DOB15-03,l10n_bg.S72624,l10n_bg.72624,cityhall,base.bg
l10n_bg.02885,02885,l10n_bg.village,Батошево,GAB29-02,l10n_bg.S14218,l10n_bg.65927,cityhall,base.bg
l10n_bg.02909,02909,l10n_bg.village,Батулци,LOV38-01,l10n_bg.S43952,l10n_bg.87014,cityhall,base.bg
l10n_bg.02912,02912,l10n_bg.village,Баурене,VRC21-01,l10n_bg.S12259,l10n_bg.39846,cityhall,base.bg
l10n_bg.02935,02935,l10n_bg.village,Баховица,LOV18-03,l10n_bg.S43952,l10n_bg.43952,cityhall,base.bg
l10n_bg.02957,02957,l10n_bg.village,Бацова махала,PVN21-02,l10n_bg.S56722,l10n_bg.51723,cityhall,base.bg
l10n_bg.02960,02960,l10n_bg.village,Бачево,BLG37-02,l10n_bg.S04279,l10n_bg.61813,cityhall,base.bg
l10n_bg.02974,02974,l10n_bg.village,Бачково,PDV01-23,l10n_bg.S56784,l10n_bg.00702,cityhall,base.bg
l10n_bg.02991,02991,l10n_bg.village,Башево,KRZ02-02,l10n_bg.S40909,l10n_bg.00607,cityhall,base.bg
l10n_bg.03006,03006,l10n_bg.village,Бащино,KRZ16-01,l10n_bg.S40909,l10n_bg.40909,cityhall,base.bg
l10n_bg.03017,03017,l10n_bg.village,Бащино,SLS07-01,l10n_bg.S66425,l10n_bg.15031,cityhall,base.bg
l10n_bg.03037,03037,l10n_bg.village,Баячево,TGV35-03,l10n_bg.S73626,l10n_bg.73626,cityhall,base.bg
l10n_bg.03054,03054,l10n_bg.village,Беброво,VTR13-01,l10n_bg.S10447,l10n_bg.27190,cityhall,base.bg
l10n_bg.03068,03068,l10n_bg.village,Беглеж,PVN24-01,l10n_bg.S56722,l10n_bg.56722,cityhall,base.bg
l10n_bg.03085,03085,l10n_bg.village,Бегово,PDV12-01,l10n_bg.S56784,l10n_bg.35523,cityhall,base.bg
l10n_bg.03099,03099,l10n_bg.village,Бегуновци,PER08-04,l10n_bg.S55871,l10n_bg.06286,cityhall,base.bg
l10n_bg.03109,03109,l10n_bg.village,Бегунци,PDV13-02,l10n_bg.S56784,l10n_bg.36498,cityhall,base.bg
l10n_bg.03112,03112,l10n_bg.village,Беден,SML09-01,l10n_bg.S67653,l10n_bg.20465,cityhall,base.bg
l10n_bg.03143,03143,l10n_bg.village,Бежаново,LOV19-01,l10n_bg.S43952,l10n_bg.44327,cityhall,base.bg
l10n_bg.03174,03174,l10n_bg.village,Безводица,DOB03-01,l10n_bg.S72624,l10n_bg.02508,cityhall,base.bg
l10n_bg.03191,03191,l10n_bg.village,Безден,SFO26-01,l10n_bg.S68134,l10n_bg.38978,cityhall,base.bg
l10n_bg.03201,03201,l10n_bg.village,Безденица,MON29-22,l10n_bg.S48489,l10n_bg.48489,cityhall,base.bg
l10n_bg.03215,03215,l10n_bg.village,Безмер,DOB27-03,l10n_bg.S72624,l10n_bg.72271,cityhall,base.bg
l10n_bg.03229,03229,l10n_bg.village,Безмер,JAM25-02,l10n_bg.S87374,l10n_bg.87374,cityhall,base.bg
l10n_bg.03561,03561,l10n_bg.village,Бел камен,BLG53-02,l10n_bg.S04279,l10n_bg.87338,cityhall,base.bg
l10n_bg.03280,03280,l10n_bg.village,Бела Рада,VID09-03,l10n_bg.S10971,l10n_bg.10971,cityhall,base.bg
l10n_bg.03294,03294,l10n_bg.village,Беласица,BLG33-02,l10n_bg.S04279,l10n_bg.56126,cityhall,base.bg
l10n_bg.03304,03304,l10n_bg.village,Белащица,PDV26-01,l10n_bg.S56784,l10n_bg.56784,cityhall,base.bg
l10n_bg.03318,03318,l10n_bg.village,Белгун,DOB17-01,l10n_bg.S72624,l10n_bg.35064,cityhall,base.bg
l10n_bg.03373,03373,l10n_bg.village,Беленци,LOV19-02,l10n_bg.S43952,l10n_bg.44327,cityhall,base.bg
l10n_bg.03397,03397,l10n_bg.village,Бели брод,MON04-11,l10n_bg.S48489,l10n_bg.05236,cityhall,base.bg
l10n_bg.03410,03410,l10n_bg.village,Бели вир,KRZ35-02,l10n_bg.S40909,l10n_bg.81236,cityhall,base.bg
l10n_bg.03438,03438,l10n_bg.village,Бели извор,VRC10-02,l10n_bg.S12259,l10n_bg.12259,cityhall,base.bg
l10n_bg.03441,03441,l10n_bg.village,Бели Искър,SFO39-02,l10n_bg.S68134,l10n_bg.65231,cityhall,base.bg
l10n_bg.24092,24092,l10n_bg.village,Бели Лом,RAZ17-07,l10n_bg.S61710,l10n_bg.44166,cityhall,base.bg
l10n_bg.03486,03486,l10n_bg.village,Бели Осъм,LOV34-03,l10n_bg.S43952,l10n_bg.73198,cityhall,base.bg
l10n_bg.03499,03499,l10n_bg.village,Бели пласт,KRZ16-02,l10n_bg.S40909,l10n_bg.40909,cityhall,base.bg
l10n_bg.03469,03469,l10n_bg.village,Белимел,MON36-10,l10n_bg.S48489,l10n_bg.81390,cityhall,base.bg
l10n_bg.03472,03472,l10n_bg.village,Белинци,RAZ14-01,l10n_bg.S61710,l10n_bg.32874,cityhall,base.bg
l10n_bg.03527,03527,l10n_bg.village,Белица,SLS34-02,l10n_bg.S66425,l10n_bg.73496,cityhall,base.bg
l10n_bg.03530,03530,l10n_bg.village,Белица,PDV15-01,l10n_bg.S56784,l10n_bg.44478,cityhall,base.bg
l10n_bg.03544,03544,l10n_bg.village,Белица,HKV17-01,l10n_bg.S77195,l10n_bg.44570,cityhall,base.bg
l10n_bg.03558,03558,l10n_bg.village,Белиш,LOV34-04,l10n_bg.S43952,l10n_bg.73198,cityhall,base.bg
l10n_bg.03664,03664,l10n_bg.village,Бело поле,BLG03-02,l10n_bg.S04279,l10n_bg.04279,cityhall,base.bg
l10n_bg.03678,03678,l10n_bg.village,Бело поле,VID33-06,l10n_bg.S10971,l10n_bg.63255,cityhall,base.bg
l10n_bg.03575,03575,l10n_bg.village,Беловец,RAZ16-01,l10n_bg.S61710,l10n_bg.40422,cityhall,base.bg
l10n_bg.03589,03589,l10n_bg.village,Беловица,PDV37-01,l10n_bg.S56784,l10n_bg.77270,cityhall,base.bg
l10n_bg.03602,03602,l10n_bg.village,Белоградец,VAR08-01,l10n_bg.S10135,l10n_bg.10865,cityhall,base.bg
l10n_bg.27440,27440,l10n_bg.village,Белодол,BGS17-08,l10n_bg.S07079,l10n_bg.57491,cityhall,base.bg
l10n_bg.03620,03620,l10n_bg.village,Белозем,PDV25-01,l10n_bg.S56784,l10n_bg.62075,cityhall,base.bg
l10n_bg.03633,03633,l10n_bg.village,Белокопитово,SHU30-01,l10n_bg.S83510,l10n_bg.83510,cityhall,base.bg
l10n_bg.03647,03647,l10n_bg.village,Беломорци,TGV22-01,l10n_bg.S73626,l10n_bg.53535,cityhall,base.bg
l10n_bg.03681,03681,l10n_bg.village,Белополци,HKV11-01,l10n_bg.S77195,l10n_bg.32024,cityhall,base.bg
l10n_bg.03695,03695,l10n_bg.village,Белополяне,HKV11-02,l10n_bg.S77195,l10n_bg.32024,cityhall,base.bg
l10n_bg.03705,03705,l10n_bg.village,Белопопци,SFO10-03,l10n_bg.S68134,l10n_bg.16314,cityhall,base.bg
l10n_bg.03722,03722,l10n_bg.village,Белотинци,MON29-02,l10n_bg.S48489,l10n_bg.48489,cityhall,base.bg
l10n_bg.03745,03745,l10n_bg.village,Белцов,RSE37-01,l10n_bg.S63427,l10n_bg.78361,cityhall,base.bg
l10n_bg.03767,03767,l10n_bg.village,Белчин,SFO39-03,l10n_bg.S68134,l10n_bg.65231,cityhall,base.bg
l10n_bg.03798,03798,l10n_bg.village,Беляковец,VTR04-03,l10n_bg.S10447,l10n_bg.10447,cityhall,base.bg
l10n_bg.03808,03808,l10n_bg.village,Беляново,RSE37-02,l10n_bg.S63427,l10n_bg.78361,cityhall,base.bg
l10n_bg.03811,03811,l10n_bg.village,Бенковски,VAR01-01,l10n_bg.S10135,l10n_bg.00084,cityhall,base.bg
l10n_bg.03825,03825,l10n_bg.village,Бенковски,KRZ14-02,l10n_bg.S40909,l10n_bg.36926,cityhall,base.bg
l10n_bg.03839,03839,l10n_bg.village,Бенковски,PDV17-01,l10n_bg.S56784,l10n_bg.56784,cityhall,base.bg
l10n_bg.03860,03860,l10n_bg.village,Бенковски,DOB15-05,l10n_bg.S72624,l10n_bg.72624,cityhall,base.bg
l10n_bg.03914,03914,l10n_bg.village,Бериево,GAB29-03,l10n_bg.S14218,l10n_bg.65927,cityhall,base.bg
l10n_bg.03962,03962,l10n_bg.village,Берсин,KNL29-02,l10n_bg.S41112,l10n_bg.41112,cityhall,base.bg
l10n_bg.03976,03976,l10n_bg.village,Беслен,BLG52-02,l10n_bg.S04279,l10n_bg.77058,cityhall,base.bg
l10n_bg.03993,03993,l10n_bg.village,Биволаре,PVN10-02,l10n_bg.S56722,l10n_bg.22215,cityhall,base.bg
l10n_bg.04008,04008,l10n_bg.village,Биволяне,KRZ21-03,l10n_bg.S40909,l10n_bg.48996,cityhall,base.bg
l10n_bg.04039,04039,l10n_bg.village,Биково,SLV20-01,l10n_bg.S67338,l10n_bg.67338,cityhall,base.bg
l10n_bg.04056,04056,l10n_bg.village,Билка,BGS18-01,l10n_bg.S07079,l10n_bg.63224,cityhall,base.bg
l10n_bg.04114,04114,l10n_bg.village,Бинкос,SLV20-02,l10n_bg.S67338,l10n_bg.67338,cityhall,base.bg
l10n_bg.07836,07836,l10n_bg.village,Биркова,PAZ08-02,l10n_bg.S55155,l10n_bg.10450,cityhall,base.bg
l10n_bg.04128,04128,l10n_bg.village,Бисер,HKV33-01,l10n_bg.S77195,l10n_bg.77181,cityhall,base.bg
l10n_bg.04131,04131,l10n_bg.village,Бисерци,RAZ16-02,l10n_bg.S61710,l10n_bg.40422,cityhall,base.bg
l10n_bg.04145,04145,l10n_bg.village,Бистра,SLS01-02,l10n_bg.S66425,l10n_bg.00415,cityhall,base.bg
l10n_bg.04159,04159,l10n_bg.village,Бистра,TGV35-04,l10n_bg.S73626,l10n_bg.73626,cityhall,base.bg
l10n_bg.04162,04162,l10n_bg.village,Бистренци,RSE04-10,l10n_bg.S63427,l10n_bg.07603,cityhall,base.bg
l10n_bg.04193,04193,l10n_bg.village,Бистрец,DOB20-03,l10n_bg.S72624,l10n_bg.40097,cityhall,base.bg
l10n_bg.04203,04203,l10n_bg.village,Бистрилица,MON02-02,l10n_bg.S48489,l10n_bg.03928,cityhall,base.bg
l10n_bg.04217,04217,l10n_bg.village,Бистрица,BLG03-03,l10n_bg.S04279,l10n_bg.04279,cityhall,base.bg
l10n_bg.04220,04220,l10n_bg.village,Бистрица,KNL48-02,l10n_bg.S41112,l10n_bg.68789,cityhall,base.bg
l10n_bg.04234,04234,l10n_bg.village,Бистрица,SOF46-54,l10n_bg.S68134,l10n_bg.68134,cityhall,base.bg
l10n_bg.04248,04248,l10n_bg.village,Бистроглед,KRZ02-35,l10n_bg.S40909,l10n_bg.00607,cityhall,base.bg
l10n_bg.04251,04251,l10n_bg.village,Благово,MON29-04,l10n_bg.S48489,l10n_bg.48489,cityhall,base.bg
l10n_bg.04265,04265,l10n_bg.village,Благово,SHU30-25,l10n_bg.S83510,l10n_bg.83510,cityhall,base.bg
l10n_bg.04282,04282,l10n_bg.village,Благоево,VTR31-03,l10n_bg.S10447,l10n_bg.69633,cityhall,base.bg
l10n_bg.04296,04296,l10n_bg.village,Благоево,RAZ26-02,l10n_bg.S61710,l10n_bg.61710,cityhall,base.bg
l10n_bg.04306,04306,l10n_bg.village,Благун,KRZ15-50,l10n_bg.S40909,l10n_bg.39970,cityhall,base.bg
l10n_bg.04314,04314,l10n_bg.village,Блажиево,KNL05-02,l10n_bg.S41112,l10n_bg.04532,cityhall,base.bg
l10n_bg.04337,04337,l10n_bg.village,Блатец,SLV20-03,l10n_bg.S67338,l10n_bg.67338,cityhall,base.bg
l10n_bg.04354,04354,l10n_bg.village,Блатино,KNL48-03,l10n_bg.S41112,l10n_bg.68789,cityhall,base.bg
l10n_bg.04368,04368,l10n_bg.village,Блатница,PAZ32-01,l10n_bg.S55155,l10n_bg.69835,cityhall,base.bg
l10n_bg.04399,04399,l10n_bg.village,Блатска,BLG52-03,l10n_bg.S04279,l10n_bg.77058,cityhall,base.bg
l10n_bg.04409,04409,l10n_bg.village,Бленика,KRZ16-52,l10n_bg.S40909,l10n_bg.40909,cityhall,base.bg
l10n_bg.04426,04426,l10n_bg.village,Близнаци,VAR01-02,l10n_bg.S10135,l10n_bg.00084,cityhall,base.bg
l10n_bg.04430,04430,l10n_bg.village,Близнаци,SHU11-02,l10n_bg.S83510,l10n_bg.14516,cityhall,base.bg
l10n_bg.04457,04457,l10n_bg.village,Блъсково,VAR24-01,l10n_bg.S10135,l10n_bg.58503,cityhall,base.bg
l10n_bg.04515,04515,l10n_bg.village,Бобовец,DOB03-02,l10n_bg.S72624,l10n_bg.02508,cityhall,base.bg
l10n_bg.14461,14461,l10n_bg.village,Бов,SFO43-08,l10n_bg.S68134,l10n_bg.65869,cityhall,base.bg
l10n_bg.07925,07925,l10n_bg.village,Богатино,KRZ02-04,l10n_bg.S40909,l10n_bg.00607,cityhall,base.bg
l10n_bg.04555,04555,l10n_bg.village,Богатово,GAB29-05,l10n_bg.S14218,l10n_bg.65927,cityhall,base.bg
l10n_bg.04563,04563,l10n_bg.village,Богдан,PDV13-03,l10n_bg.S56784,l10n_bg.36498,cityhall,base.bg
l10n_bg.04580,04580,l10n_bg.village,Богдан,DOB15-06,l10n_bg.S72624,l10n_bg.72624,cityhall,base.bg
l10n_bg.04594,04594,l10n_bg.village,Богданица,PDV28-02,l10n_bg.S56784,l10n_bg.65139,cityhall,base.bg
l10n_bg.04618,04618,l10n_bg.village,Богданов дол,PER32-01,l10n_bg.S55871,l10n_bg.55871,cityhall,base.bg
l10n_bg.04635,04635,l10n_bg.village,Богданово,SLV16-33,l10n_bg.S67338,l10n_bg.51809,cityhall,base.bg
l10n_bg.04666,04666,l10n_bg.village,Богданци,RAZ29-01,l10n_bg.S61710,l10n_bg.65276,cityhall,base.bg
l10n_bg.04670,04670,l10n_bg.village,Богданци,SLS07-02,l10n_bg.S66425,l10n_bg.15031,cityhall,base.bg
l10n_bg.04707,04707,l10n_bg.village,Боголин,BLG42-01,l10n_bg.S04279,l10n_bg.65440,cityhall,base.bg
l10n_bg.04738,04738,l10n_bg.village,Богомилово,SZR31-03,l10n_bg.S68850,l10n_bg.68850,cityhall,base.bg
l10n_bg.04741,04741,l10n_bg.village,Богомилци,RAZ29-02,l10n_bg.S61710,l10n_bg.65276,cityhall,base.bg
l10n_bg.04796,04796,l10n_bg.village,Богослов,KNL29-04,l10n_bg.S41112,l10n_bg.41112,cityhall,base.bg
l10n_bg.04801,04801,l10n_bg.village,Богутево,SML38-01,l10n_bg.S67653,l10n_bg.80371,cityhall,base.bg
l10n_bg.04827,04827,l10n_bg.village,Боденец,VRC27-01,l10n_bg.S12259,l10n_bg.47714,cityhall,base.bg
