id,l10n_bg_ecattu,l10n_bg_type_settlement_id/id,name,l10n_bg_code,state_id/id,l10n_bg_municipality_id/id,l10n_bg_structure_type,country_id/id
l10n_bg.53182,53182,l10n_bg.village,Овчага,VAR24-14,l10n_bg.S10135,l10n_bg.58503,cityhall,base.bg
l10n_bg.53206,53206,l10n_bg.village,Овчари,KRZ15-30,l10n_bg.S40909,l10n_bg.39970,cityhall,base.bg
l10n_bg.53210,53210,l10n_bg.village,Овчарово,DOB15-38,l10n_bg.S72624,l10n_bg.72624,cityhall,base.bg
l10n_bg.53223,53223,l10n_bg.village,Овчарово,TGV35-23,l10n_bg.S73626,l10n_bg.73626,cityhall,base.bg
l10n_bg.53237,53237,l10n_bg.village,Овчарово,HKV33-13,l10n_bg.S77195,l10n_bg.77181,cityhall,base.bg
l10n_bg.53254,53254,l10n_bg.village,Овчарци,KNL41-01,l10n_bg.S41112,l10n_bg.65365,cityhall,base.bg
l10n_bg.53271,53271,l10n_bg.village,Овчево,KRZ08-29,l10n_bg.S40909,l10n_bg.20746,cityhall,base.bg
l10n_bg.53285,53285,l10n_bg.village,Овчеполци,PAZ19-18,l10n_bg.S55155,l10n_bg.55155,cityhall,base.bg
l10n_bg.53299,53299,l10n_bg.village,Овчи кладенец,JAM25-28,l10n_bg.S87374,l10n_bg.87374,cityhall,base.bg
l10n_bg.53309,53309,l10n_bg.village,Оглед,SML27-15,l10n_bg.S67653,l10n_bg.63207,cityhall,base.bg
l10n_bg.53312,53312,l10n_bg.village,Огнен,BGS09-30,l10n_bg.S07079,l10n_bg.36525,cityhall,base.bg
l10n_bg.53326,53326,l10n_bg.village,Огняново,BLG13-09,l10n_bg.S04279,l10n_bg.18366,cityhall,base.bg
l10n_bg.53335,53335,l10n_bg.village,Огняново,PAZ19-19,l10n_bg.S55155,l10n_bg.55155,cityhall,base.bg
l10n_bg.53343,53343,l10n_bg.village,Огняново,SFO17-12,l10n_bg.S68134,l10n_bg.27303,cityhall,base.bg
l10n_bg.53388,53388,l10n_bg.village,Оградна,SML18-12,l10n_bg.S67653,l10n_bg.51319,cityhall,base.bg
l10n_bg.53432,53432,l10n_bg.village,Одринци,DOB15-39,l10n_bg.S72624,l10n_bg.72624,cityhall,base.bg
l10n_bg.53446,53446,l10n_bg.village,Одърне,PVN27-06,l10n_bg.S56722,l10n_bg.57772,cityhall,base.bg
l10n_bg.53450,53450,l10n_bg.village,Одърци,DOB15-40,l10n_bg.S72624,l10n_bg.72624,cityhall,base.bg
l10n_bg.53480,53480,l10n_bg.village,Окоп,JAM25-29,l10n_bg.S87374,l10n_bg.87374,cityhall,base.bg
l10n_bg.53494,53494,l10n_bg.village,Окорш,SLS10-12,l10n_bg.S66425,l10n_bg.24030,cityhall,base.bg
l10n_bg.53518,53518,l10n_bg.village,Омарчево,SLV16-19,l10n_bg.S67338,l10n_bg.51809,cityhall,base.bg
l10n_bg.53583,53583,l10n_bg.village,Опанец,PVN24-16,l10n_bg.S56722,l10n_bg.56722,cityhall,base.bg
l10n_bg.53597,53597,l10n_bg.village,Опанец,DOB15-41,l10n_bg.S72624,l10n_bg.72624,cityhall,base.bg
l10n_bg.53607,53607,l10n_bg.village,Опицвет,SFO26-08,l10n_bg.S68134,l10n_bg.38978,cityhall,base.bg
l10n_bg.53624,53624,l10n_bg.village,Опълченец,SZR04-13,l10n_bg.S68850,l10n_bg.06183,cityhall,base.bg
l10n_bg.53638,53638,l10n_bg.village,Опълченско,KRZ16-23,l10n_bg.S40909,l10n_bg.40909,cityhall,base.bg
l10n_bg.54821,54821,l10n_bg.village,Орех,KRZ15-52,l10n_bg.S40909,l10n_bg.39970,cityhall,base.bg
l10n_bg.53655,53655,l10n_bg.village,Ореховица,PVN10-09,l10n_bg.S56722,l10n_bg.22215,cityhall,base.bg
l10n_bg.53669,53669,l10n_bg.village,Орехово,SML38-05,l10n_bg.S67653,l10n_bg.80371,cityhall,base.bg
l10n_bg.53672,53672,l10n_bg.village,Ореш,VTR28-11,l10n_bg.S10447,l10n_bg.65766,cityhall,base.bg
l10n_bg.53691,53691,l10n_bg.village,Орешак,VAR02-17,l10n_bg.S10135,l10n_bg.00182,cityhall,base.bg
l10n_bg.53707,53707,l10n_bg.village,Орешак,LOV34-15,l10n_bg.S43952,l10n_bg.73198,cityhall,base.bg
l10n_bg.53727,53727,l10n_bg.village,Ореше,BLG13-10,l10n_bg.S04279,l10n_bg.18366,cityhall,base.bg
l10n_bg.53730,53730,l10n_bg.village,Орешене,LOV38-07,l10n_bg.S43952,l10n_bg.87014,cityhall,base.bg
l10n_bg.53744,53744,l10n_bg.village,Орешене,SLS10-13,l10n_bg.S66425,l10n_bg.24030,cityhall,base.bg
l10n_bg.14489,14489,l10n_bg.village,Орешец,VID16-06,l10n_bg.S10971,l10n_bg.21097,cityhall,base.bg
l10n_bg.53775,53775,l10n_bg.village,Орешец,HKV33-14,l10n_bg.S77195,l10n_bg.77181,cityhall,base.bg
l10n_bg.53802,53802,l10n_bg.village,Орешник,HKV32-07,l10n_bg.S77195,l10n_bg.72761,cityhall,base.bg
l10n_bg.53816,53816,l10n_bg.village,Орешница,KRZ16-78,l10n_bg.S40909,l10n_bg.40909,cityhall,base.bg
l10n_bg.53822,53822,l10n_bg.village,Оризаре,BGS15-06,l10n_bg.S07079,l10n_bg.51500,cityhall,base.bg
l10n_bg.53833,53833,l10n_bg.village,Оризари,PDV26-21,l10n_bg.S56784,l10n_bg.56784,cityhall,base.bg
l10n_bg.53847,53847,l10n_bg.village,Оризари,SLV24-06,l10n_bg.S67338,l10n_bg.72165,cityhall,base.bg
l10n_bg.53850,53850,l10n_bg.village,Оризово,SZR04-14,l10n_bg.S68850,l10n_bg.06183,cityhall,base.bg
l10n_bg.53984,53984,l10n_bg.village,Орлинци,BGS06-15,l10n_bg.S07079,l10n_bg.17974,cityhall,base.bg
l10n_bg.53878,53878,l10n_bg.village,Орлица,KRZ14-28,l10n_bg.S40909,l10n_bg.36926,cityhall,base.bg
l10n_bg.53895,53895,l10n_bg.village,Орлов дол,HKV32-08,l10n_bg.S77195,l10n_bg.72761,cityhall,base.bg
l10n_bg.53905,53905,l10n_bg.village,Орловец,VTR26-10,l10n_bg.S10447,l10n_bg.57354,cityhall,base.bg
l10n_bg.53919,53919,l10n_bg.village,Орлово,SLV11-23,l10n_bg.S67338,l10n_bg.39030,cityhall,base.bg
l10n_bg.53936,53936,l10n_bg.village,Орлово,HKV34-27,l10n_bg.S77195,l10n_bg.77195,cityhall,base.bg
l10n_bg.53953,53953,l10n_bg.village,Орляк,DOB27-19,l10n_bg.S72624,l10n_bg.72271,cityhall,base.bg
l10n_bg.53998,53998,l10n_bg.village,Орцево,BLG02-09,l10n_bg.S04279,l10n_bg.03504,cityhall,base.bg
l10n_bg.54002,54002,l10n_bg.village,Оряховец,SML02-11,l10n_bg.S67653,l10n_bg.44402,cityhall,base.bg
l10n_bg.54016,54016,l10n_bg.village,Оряховица,SZR31-30,l10n_bg.S68850,l10n_bg.68850,cityhall,base.bg
l10n_bg.54033,54033,l10n_bg.village,Оряхово,HKV17-07,l10n_bg.S77195,l10n_bg.44570,cityhall,base.bg
l10n_bg.54047,54047,l10n_bg.village,Оселна,VRC27-19,l10n_bg.S12259,l10n_bg.47714,cityhall,base.bg
l10n_bg.54064,54064,l10n_bg.village,Осен,VRC21-10,l10n_bg.S12259,l10n_bg.39846,cityhall,base.bg
l10n_bg.54078,54078,l10n_bg.village,Осен,SLS07-16,l10n_bg.S66425,l10n_bg.15031,cityhall,base.bg
l10n_bg.54105,54105,l10n_bg.village,Осенец,RAZ26-10,l10n_bg.S61710,l10n_bg.61710,cityhall,base.bg
l10n_bg.54119,54119,l10n_bg.village,Осеновец,SHU07-09,l10n_bg.S83510,l10n_bg.10642,cityhall,base.bg
l10n_bg.54122,54122,l10n_bg.village,Осеновлаг,SFO43-26,l10n_bg.S68134,l10n_bg.65869,cityhall,base.bg
l10n_bg.54145,54145,l10n_bg.village,Осеново,VAR02-18,l10n_bg.S10135,l10n_bg.00182,cityhall,base.bg
l10n_bg.54153,54153,l10n_bg.village,Осетеново,SZR24-08,l10n_bg.S68850,l10n_bg.55021,cityhall,base.bg
l10n_bg.54170,54170,l10n_bg.village,Осиковица,SFO34-05,l10n_bg.S68134,l10n_bg.58030,cityhall,base.bg
l10n_bg.54184,54184,l10n_bg.village,Осиково,BLG13-11,l10n_bg.S04279,l10n_bg.18366,cityhall,base.bg
l10n_bg.54198,54198,l10n_bg.village,Осиково,SML09-10,l10n_bg.S67653,l10n_bg.20465,cityhall,base.bg
l10n_bg.54208,54208,l10n_bg.village,Осиково,TGV24-25,l10n_bg.S73626,l10n_bg.57649,cityhall,base.bg
l10n_bg.54211,54211,l10n_bg.village,Осиковска Лакавица,SFO34-06,l10n_bg.S68134,l10n_bg.58030,cityhall,base.bg
l10n_bg.54225,54225,l10n_bg.village,Осина,BLG42-09,l10n_bg.S04279,l10n_bg.65440,cityhall,base.bg
l10n_bg.54273,54273,l10n_bg.village,Осмар,SHU23-08,l10n_bg.S83510,l10n_bg.58222,cityhall,base.bg
l10n_bg.54287,54287,l10n_bg.village,Осоица,SFO10-10,l10n_bg.S68134,l10n_bg.16314,cityhall,base.bg
l10n_bg.54300,54300,l10n_bg.village,Остра могила,SLV11-22,l10n_bg.S67338,l10n_bg.39030,cityhall,base.bg
l10n_bg.54345,54345,l10n_bg.village,Острец,TGV35-25,l10n_bg.S73626,l10n_bg.73626,cityhall,base.bg
l10n_bg.54362,54362,l10n_bg.village,Острица,RSE08-11,l10n_bg.S63427,l10n_bg.20184,cityhall,base.bg
l10n_bg.54386,54386,l10n_bg.village,Остров,VRC31-05,l10n_bg.S12259,l10n_bg.54020,cityhall,base.bg
l10n_bg.54393,54393,l10n_bg.village,Островец,KRZ14-29,l10n_bg.S40909,l10n_bg.36926,cityhall,base.bg
l10n_bg.54403,54403,l10n_bg.village,Островица,KRZ16-24,l10n_bg.S40909,l10n_bg.40909,cityhall,base.bg
l10n_bg.54417,54417,l10n_bg.village,Острово,RAZ11-04,l10n_bg.S61710,l10n_bg.30065,cityhall,base.bg
l10n_bg.54451,54451,l10n_bg.village,Отец Кирилово,PDV07-19,l10n_bg.S56784,l10n_bg.06361,cityhall,base.bg
l10n_bg.54465,54465,l10n_bg.village,Отец Паисиево,PDV12-09,l10n_bg.S56784,l10n_bg.35523,cityhall,base.bg
l10n_bg.54479,54479,l10n_bg.village,Охлювец,KRZ16-79,l10n_bg.S40909,l10n_bg.40909,cityhall,base.bg
l10n_bg.54482,54482,l10n_bg.village,Оходен,VRC10-16,l10n_bg.S12259,l10n_bg.12259,cityhall,base.bg
l10n_bg.54496,54496,l10n_bg.village,Охрид,MON04-10,l10n_bg.S48489,l10n_bg.05236,cityhall,base.bg
l10n_bg.54506,54506,l10n_bg.village,Очиндол,VRC27-21,l10n_bg.S12259,l10n_bg.47714,cityhall,base.bg
l10n_bg.55018,55018,l10n_bg.village,Павел,VTR26-11,l10n_bg.S10447,l10n_bg.57354,cityhall,base.bg
l10n_bg.55035,55035,l10n_bg.village,Павелско,SML38-07,l10n_bg.S67653,l10n_bg.80371,cityhall,base.bg
l10n_bg.55070,55070,l10n_bg.village,Паволче,VRC10-17,l10n_bg.S12259,l10n_bg.12259,cityhall,base.bg
l10n_bg.55107,55107,l10n_bg.village,Падеш,BLG03-17,l10n_bg.S04279,l10n_bg.04279,cityhall,base.bg
l10n_bg.55110,55110,l10n_bg.village,Падина,VAR14-02,l10n_bg.S10135,l10n_bg.20482,cityhall,base.bg
l10n_bg.55124,55124,l10n_bg.village,Падина,KRZ02-17,l10n_bg.S40909,l10n_bg.00607,cityhall,base.bg
l10n_bg.55138,55138,l10n_bg.village,Падина,SLS07-27,l10n_bg.S66425,l10n_bg.15031,cityhall,base.bg
l10n_bg.55169,55169,l10n_bg.village,Пазарци,KRZ21-31,l10n_bg.S40909,l10n_bg.48996,cityhall,base.bg
l10n_bg.55186,55186,l10n_bg.village,Паисиево,SLS10-14,l10n_bg.S66425,l10n_bg.24030,cityhall,base.bg
l10n_bg.55196,55196,l10n_bg.village,Паисий,VTR06-13,l10n_bg.S10447,l10n_bg.16359,cityhall,base.bg
l10n_bg.55201,55201,l10n_bg.village,Пайдушко,TGV35-26,l10n_bg.S73626,l10n_bg.73626,cityhall,base.bg
l10n_bg.55213,55213,l10n_bg.village,Паламарца,TGV24-26,l10n_bg.S73626,l10n_bg.57649,cityhall,base.bg
l10n_bg.59330,59330,l10n_bg.village,Палатик,BLG02-10,l10n_bg.S04279,l10n_bg.03504,cityhall,base.bg
l10n_bg.55230,55230,l10n_bg.village,Палатово,KNL48-11,l10n_bg.S41112,l10n_bg.68789,cityhall,base.bg
l10n_bg.55244,55244,l10n_bg.village,Палаузово,JAM22-16,l10n_bg.S87374,l10n_bg.69660,cityhall,base.bg
l10n_bg.55261,55261,l10n_bg.village,Палици,VTR13-14,l10n_bg.S10447,l10n_bg.27190,cityhall,base.bg
l10n_bg.55275,55275,l10n_bg.village,Памидово,PAZ14-04,l10n_bg.S55155,l10n_bg.43369,cityhall,base.bg
l10n_bg.55289,55289,l10n_bg.village,Памукчии,SZR31-32,l10n_bg.S68850,l10n_bg.68850,cityhall,base.bg
l10n_bg.55292,55292,l10n_bg.village,Памукчии,SHU22-08,l10n_bg.S83510,l10n_bg.52009,cityhall,base.bg
l10n_bg.59375,59375,l10n_bg.village,Панагюрски колонии,PAZ20-08,l10n_bg.S55155,l10n_bg.55302,cityhall,base.bg
l10n_bg.55316,55316,l10n_bg.village,Панайот Волово,SHU30-26,l10n_bg.S83510,l10n_bg.83510,cityhall,base.bg
l10n_bg.55327,55327,l10n_bg.village,Панайот Хитово,TGV22-27,l10n_bg.S73626,l10n_bg.53535,cityhall,base.bg
l10n_bg.55333,55333,l10n_bg.village,Панаретовци,SLV20-31,l10n_bg.S67338,l10n_bg.67338,cityhall,base.bg
l10n_bg.22767,22767,l10n_bg.village,Паничерево,SZR37-05,l10n_bg.S68850,l10n_bg.18157,cityhall,base.bg
l10n_bg.55378,55378,l10n_bg.village,Паничери,PDV37-08,l10n_bg.S56784,l10n_bg.77270,cityhall,base.bg
l10n_bg.55381,55381,l10n_bg.village,Паничино,TGV22-28,l10n_bg.S73626,l10n_bg.53535,cityhall,base.bg
l10n_bg.55395,55395,l10n_bg.village,Паничково,KRZ35-17,l10n_bg.S40909,l10n_bg.81236,cityhall,base.bg
l10n_bg.55422,55422,l10n_bg.village,Панчево,KRZ16-80,l10n_bg.S40909,l10n_bg.40909,cityhall,base.bg
l10n_bg.55436,55436,l10n_bg.village,Папрат,KRZ08-10,l10n_bg.S40909,l10n_bg.20746,cityhall,base.bg
l10n_bg.55470,55470,l10n_bg.village,Партизани,VAR16-10,l10n_bg.S10135,l10n_bg.24565,cityhall,base.bg
l10n_bg.55484,55484,l10n_bg.village,Партизанин,SZR04-15,l10n_bg.S68850,l10n_bg.06183,cityhall,base.bg
l10n_bg.55508,55508,l10n_bg.village,Паскалевец,VTR22-14,l10n_bg.S10447,l10n_bg.55052,cityhall,base.bg
l10n_bg.55511,55511,l10n_bg.village,Паскалево,DOB15-43,l10n_bg.S72624,l10n_bg.72624,cityhall,base.bg
l10n_bg.55539,55539,l10n_bg.village,Пастра,KNL38-02,l10n_bg.S41112,l10n_bg.62671,cityhall,base.bg
l10n_bg.55556,55556,l10n_bg.village,Паталеница,PAZ19-20,l10n_bg.S55155,l10n_bg.55155,cityhall,base.bg
l10n_bg.55568,55568,l10n_bg.village,Патица,KRZ35-18,l10n_bg.S40909,l10n_bg.81236,cityhall,base.bg
l10n_bg.55573,55573,l10n_bg.village,Патреш,VTR22-15,l10n_bg.S10447,l10n_bg.55052,cityhall,base.bg
l10n_bg.55590,55590,l10n_bg.village,Патриарх Евтимово,PDV01-17,l10n_bg.S56784,l10n_bg.00702,cityhall,base.bg
l10n_bg.55614,55614,l10n_bg.village,Пашинци,KRZ15-45,l10n_bg.S40909,l10n_bg.39970,cityhall,base.bg
l10n_bg.55631,55631,l10n_bg.village,Пашови,PAZ08-11,l10n_bg.S55155,l10n_bg.10450,cityhall,base.bg
l10n_bg.55662,55662,l10n_bg.village,Певец,TGV35-27,l10n_bg.S73626,l10n_bg.73626,cityhall,base.bg
l10n_bg.55676,55676,l10n_bg.village,Певците,PDV13-29,l10n_bg.S56784,l10n_bg.36498,cityhall,base.bg
l10n_bg.55720,55720,l10n_bg.village,Пейчиново,RSE04-13,l10n_bg.S63427,l10n_bg.07603,cityhall,base.bg
l10n_bg.55751,55751,l10n_bg.village,Пелин,KRZ15-57,l10n_bg.S40909,l10n_bg.39970,cityhall,base.bg
l10n_bg.55765,55765,l10n_bg.village,Пелишат,PVN24-17,l10n_bg.S56722,l10n_bg.56722,cityhall,base.bg
l10n_bg.55823,55823,l10n_bg.village,Пеньово,KRZ16-25,l10n_bg.S40909,l10n_bg.40909,cityhall,base.bg
l10n_bg.55840,55840,l10n_bg.village,Пепелище,KRZ16-81,l10n_bg.S40909,l10n_bg.40909,cityhall,base.bg
l10n_bg.55885,55885,l10n_bg.village,Перперек,KRZ16-26,l10n_bg.S40909,l10n_bg.40909,cityhall,base.bg
l10n_bg.55899,55899,l10n_bg.village,Перуника,KRZ15-31,l10n_bg.S40909,l10n_bg.39970,cityhall,base.bg
l10n_bg.55926,55926,l10n_bg.village,Песнопой,PDV12-10,l10n_bg.S56784,l10n_bg.35523,cityhall,base.bg
l10n_bg.56068,56068,l10n_bg.village,Пет могили,SLV16-20,l10n_bg.S67338,l10n_bg.51809,cityhall,base.bg
l10n_bg.56071,56071,l10n_bg.village,Пет могили,SHU21-06,l10n_bg.S83510,l10n_bg.51651,cityhall,base.bg
l10n_bg.55960,55960,l10n_bg.village,Петелово,KRZ35-19,l10n_bg.S40909,l10n_bg.81236,cityhall,base.bg
l10n_bg.65471,65471,l10n_bg.village,Петко Каравелово,VTR26-14,l10n_bg.S10447,l10n_bg.57354,cityhall,base.bg
l10n_bg.56037,56037,l10n_bg.village,Петко Славейков,GAB29-23,l10n_bg.S14218,l10n_bg.65927,cityhall,base.bg
l10n_bg.55991,55991,l10n_bg.village,Петково,SML31-22,l10n_bg.S67653,l10n_bg.67653,cityhall,base.bg
l10n_bg.56006,56006,l10n_bg.village,Петково,SFO17-13,l10n_bg.S68134,l10n_bg.27303,cityhall,base.bg
l10n_bg.56040,56040,l10n_bg.village,Петлешково,DOB12-23,l10n_bg.S72624,l10n_bg.14711,cityhall,base.bg
l10n_bg.56054,56054,l10n_bg.village,Петлино,KRZ16-82,l10n_bg.S40909,l10n_bg.40909,cityhall,base.bg
l10n_bg.56085,56085,l10n_bg.village,Петокладенци,PVN03-04,l10n_bg.S56722,l10n_bg.03366,cityhall,base.bg
l10n_bg.56099,56099,l10n_bg.village,Петревене,LOV19-07,l10n_bg.S43952,l10n_bg.44327,cityhall,base.bg
l10n_bg.56109,56109,l10n_bg.village,Петрелик,BLG52-11,l10n_bg.S04279,l10n_bg.77058,cityhall,base.bg
l10n_bg.56112,56112,l10n_bg.village,Петрино,TGV22-29,l10n_bg.S73626,l10n_bg.53535,cityhall,base.bg
