code,name,category,description
-101009,ERR_CANCELLED,COMMON LOGICAL ERRORS,Common logical error: The operation is cancelled
-101010,ERR_INVALID_FORMAT,COMMON LOGICAL ERRORS,Common logical error: Invalid format
-101011,ERR_INVALID_DATA,COMMON LOGICAL ERRORS,Common logical error: Invalid data
-101012,ERR_PARSE_ERROR,COMMON LOGICAL ERRORS,Common logical error: Data parsing error
-101013,ERR_HARDWARE_CONFIGURATION,COMMON LOGICAL ERRORS,Common logical error: Hardware configuration error
-101014,ERR_ACCESS_DENIED,COMMON LOGICAL ERRORS,ERR_ACCESS_DENIED
-101015,ERR_BAD_DATA_LENGTH,COMMON LOGICAL ERRORS,Wrong data length
-101016,ERR_VERIFY_Z,COMMON LOGICAL ERRORS,Error during verification of Z reports
-101017,ERR_NO_PERMISSION,COMMON LOGICAL ERRORS,Common logical error: No permission
-102000,ERR_LOW_BATTERY,GENERAL ERRORS,Battery error: Low battery
-102001,ERR_LOW_BATTERY_WARNING,GENERAL ERRORS,Battery error: Low battery warning
-102002,ERR_OPER_WRONG_PASSWORD,GENERAL ERRORS,Operator error: Wrong operator password
-102003,ERR_IDNUMBER_IS_EMPTY,GENERAL ERRORS,ECR error: ID number is empty
-102004,ERR_NOT_FOUND_BLUETOOTH,GENERAL ERRORS,Bluetooth error: Bluetooth is not found
-102005,ERR_DISPLAY_DISCONNECTED,GENERAL ERRORS,Display error: Display is not connected
-102006,ERR_PRINTER_DISCONNECTED,GENERAL ERRORS,Printer error: Printer is not connected
-102007,ERR_SD_NOT_PRESENT,GENERAL ERRORS,SD card error: SD card not present
-102008,ERR_SD2_NOT_PRESENT,GENERAL ERRORS,SD card error: SD2 card not present
-102009,ERR_VAT_RATES_ARE_EMPTY,GENERAL ERRORS,ECR error: VAT rates is not set.
-102010,ERR_HEADER_IS_EMPTY,GENERAL ERRORS,ECR error: Header lines are empty.
-102011,ERR_ZDDS_NUM_IS_EMPTY,GENERAL ERRORS,"User is registered by VAT, but number of the user is not entered."
-102012,ERR_FMNUMBER_IS_EMPTY,GENERAL ERRORS,ECR error: FM number is empty
-102013,ERR_SERVICEMAN_NAME_IS_EMPTY,GENERAL ERRORS,ECR error: Serviceman name is empty
-102014,ERR_SERVICEMAN_ID_IS_EMPTY,GENERAL ERRORS,ECR error: Serviceman ID is empty
-102015,ERR_TAXOFFICE_ID_IS_EMPTY,GENERAL ERRORS,ECR error: Tax office ID is empty!
-102016,ERR_WRONG_FORMAT,GENERAL ERRORS,ECR error: Wrong format
-102017,ERR_TAXNUMBER_IS_EMPTY,GENERAL ERRORS,ECR error: TAX number is empty
-102018,ERR_WRONG_IDNUMBER,GENERAL ERRORS,ECR error: ID number is wrong
-102019,ERR_DATETIME_EARLIER_THAN_PREV_Z,GENERAL ERRORS,ECR error: Date and time are earlier than date and time of previous Z report.
-102020,ERR_NEED_SOFTWARE_PASSWORD,GENERAL ERRORS,ECR error: The software password is not entered
-103000,ERR_PLUDB_NOT_FOUND,PLU DATABASE,PLU database error: PLU database is not found
-103001,ERR_PLUDB_PLUCODE_EXISTS,PLU DATABASE,PLU database error: PLU code already exists
-103002,ERR_PLUDB_BARCODE_EXISTS,PLU DATABASE,PLU database error: Barcode already exists
-103003,ERR_PLUDB_FULL,PLU DATABASE,PLU database error: PLU database is full
-103004,ERR_P_HAVE_TURNOVER,PLU DATABASE,PLU database error: PLU has turnover
-103005,ERR_PLUDB_NAME_EXISTS,PLU DATABASE,PLU database error: In the PLU base has an article with same name.
