code,name,category,description
-111054,ERR_R_PAY_BIG_AMOUNT,REGMODE ERRORS,Registration mode error: Sum must be <= payment amount
-111055,ERR_R_PAY_VOUCHER_NEED_INPUT_SUM,REGMODE ERRORS,Registration mode error: Sum of voucher must be entered when paying with voucher
-111056,ERR_R_PAY_VOUCHER_NEED_SURCHARGE,REGMODE ERRORS,done when paying with voucher and sum > total
-111057,ERR_R_PAY_FOREIGN_DISABLED,REGMODE ERRORS,Registration mode error: Payment with foreign currency is disabled
-111058,ERR_R_PAY_FOREIGN_IMPOSSIBLE,REGMODE ERRORS,Registration mode error: Payment with foreign currency is impossible
-111059,ERR_R_PAY_FOREIGN_SMALL_AMOUNT,REGMODE ERRORS,Registration mode error: Sum must be bigger or equal to payment amount
-111060,ERR_R_SAFE_OPEN_DISABLED,REGMODE ERRORS,Registration mode error: Safe opening is disabled
-111061,ERR_R_PAY_FORBIDDEN,REGMODE ERRORS,Registration mode error: Forbidden payment
-111062,ERR_R_PERC_KEY_FORBIDDEN,REGMODE ERRORS,Registration mode error: Forbidden key for surcharge/discount
-111063,ERR_R_AMOUNT_BIGGER_BILLAMOUNT,REGMODE ERRORS,Registration mode error: Entered sum is bigger than receipt sum
-111064,ERR_R_AMOUNT_SMALLER_BILLAMOUNT,REGMODE ERRORS,Registration mode error: Entered sum is smaller than receipt sum
-111065,ERR_R_ZERO_BILLAMOUNT,REGMODE ERRORS,Registration mode error: Fiscal printer: Sum of receipt is 0. Operation 'void' is needed
-111066,ERR_R_ALL_VOID_EXECUTED,REGMODE ERRORS,Registration mode error: Fiscal printer: Operation 'void' is executed. Close receipt is needed
-111067,ERR_R_OPEN_STORNOBON,REGMODE ERRORS,Registration mode error: Storno receipt is opened
-111068,ERR_R_PAY_ZERO_AMOUNT,REGMODE ERRORS,Registration mode error: Sum is not entered
-111069,ERR_R_PLU_PRICETYPE_RANGE,REGMODE ERRORS,Registration mode error: Price type is invalid
-111070,ERR_R_PLU_PRICETYPE_LINKED,REGMODE ERRORS,Registration mode error: Linked surcharge is forbidden
-111071,ERR_R_PLU_PRICETYPE_NEGATIVE,REGMODE ERRORS,Registration mode error: Negative price is forbidden
-111072,ERR_R_MORE_THAN_ONE_VAT,REGMODE ERRORS,Registration mode error: More than 1 VAT in one receipt is not allowed
-111073,ERR_R_PINPAD,REGMODE ERRORS,Registration mode error: Pinpad error
-111074,ERR_R_WRONG_BUYERS_DATA,REGMODE ERRORS,Registration mode error: Buyer data is wrong
-111075,ERR_R_VAT_SYSTEM_DISABLE,REGMODE ERRORS,Registration mode error: Vat system disable.
-111076,ERR_R_OPER_NOT_LOGGED_IN,REGMODE ERRORS,Operator not logged in.
-111077,ERR_R_WRONG_DATE_FM,REGMODE ERRORS,The receipt date is early on last date in fiscal memory.
-111078,ERR_R_CORR_DATA_NOT_ENTERED,REGMODE ERRORS,Correction receipt data is not entered!
-111079,ERR_R_FRACTIONAL_QTY,REGMODE ERRORS,Fractional quantity!
-111080,ERR_R_OUT_OF_STOCK,REGMODE ERRORS,Registration mode error: Registration mode error: Out of stock
-111081,ERR_R_STL_NEEDED,REGMODE ERRORS,Registration mode error: Must pushing of the STL before TL.
-111082,ERR_R_PACK_NOTEXIST,REGMODE ERRORS,Package does not exist
-111083,ERR_R_PLU_UNIT_NOTEXIST,REGMODE ERRORS,Measuring unit not found
-111084,ERR_R_PLU_CATEGORY_NOTEXIST,REGMODE ERRORS,Category not found in the data base
-111085,ERR_R_DEP_WRONG_NAME,REGMODE ERRORS,Invalid department name
-111086,ERR_R_BANK_TERM_NOT_CONFIGURED,REGMODE ERRORS,Bank terminal not configured
-111087,ERR_R_SIGN_PAY_INCORECT,REGMODE ERRORS,Disallowed 'признак расчета' (Russia)
-111088,ERR_R_SIGN_INCORRECT,REGMODE ERRORS,Forbidden признак товара
-111089,ERR_R_PLU_OVER_MAX_PRC,REGMODE ERRORS,Entered price is bigger than the programmed
-111090,ERR_R_PLU_FIX_PRC,REGMODE ERRORS,Fix PLU's price
-111091,ERR_R_SIGN_AGENT_INCORECT,REGMODE ERRORS,Incorect sign agent.
-111092,ERR_R_PAY_VOUCHER_RESTO,REGMODE ERRORS,Voucher payment cannot have change
-111093,ERR_R_PAY_ADVANCE_BIG,REGMODE ERRORS,Sum for advance payment is bigger than the sum of article
-111094,ERR_R_PAY_STORNO_RESTO,REGMODE ERRORS,Payment in storno can not have change
-111095,ERR_R_NOT_EXCISE_PLU_WITH_EXCISE_STAMP,REGMODE ERRORS,Invalid parameter - PLU is not defined as excise PLU
-111096,ERR_R_EXCISE_PLU_WITHOUT_EXCISE_STAMP,REGMODE ERRORS,Excise stamp of an excise PLU is not entered
-111097,ERR_R_EXCISE_PLU_FORBIDDEN,REGMODE ERRORS,SALE FORBIDDEN (excise stamp is not valid)
-111098,ERR_R_WAIT_UNTIL_MIDNIGHT,REGMODE ERRORS,Can't open new day. PLease wait until midnight.
-111500,ERR_PINPAD_NONE,PINPAD ERRORS,Pinpad error: No error from pinpad
-111501,ERR_PINPAD_GENERAL,PINPAD ERRORS,Pinpad error: General unicreditbulbank icon error
-111502,ERR_PINPAD_INVALID_COMMAND,PINPAD ERRORS,Pinpad error: Not valid command or sub command code
-111503,ERR_PINPAD_INVALID_PARAM,PINPAD ERRORS,Pinpad error: Invalid parameter
-111504,ERR_PINPAD_INVALID_ADDRESS,PINPAD ERRORS,Pinpad error: The address is outside limits
-111505,ERR_PINPAD_INVALID_VALUE,PINPAD ERRORS,Pinpad error: The value is outside limits
-111506,ERR_PINPAD_INVALID_LENGTH,PINPAD ERRORS,Pinpad error: The length is outside limits
-111507,ERR_PINPAD_NOT_PERMIT,PINPAD ERRORS,Pinpad error: The action is not permited in current state
-111508,ERR_PINPAD_NO_DATA,PINPAD ERRORS,Pinpad error: There is no data to be returned
-111509,ERR_PINPAD_TIMEOUT,PINPAD ERRORS,Pinpad error: Timeout occurs
-111510,ERR_PINPAD_INVALID_KEY_NUMBER,PINPAD ERRORS,Pinpad error: Invalid key number
-111511,ERR_PINPAD_INVALID_KEY_ATTRIBUTES,PINPAD ERRORS,Pinpad error: Invalid key attributes(usage)
-111512,ERR_PINPAD_INVALID_DEVICE,PINPAD ERRORS,Pinpad error: Calling of non-existing device
-111513,ERR_PINPAD_NOT_SUPPORT,PINPAD ERRORS,Pinpad error: (Not used in this FW version)
-111514,ERR_PINPAD_PIN_LIMIT,PINPAD ERRORS,Pinpad error: Pin entering limit exceed
-111515,ERR_PINPAD_FLASH,PINPAD ERRORS,Pinpad error: General error in flash commands
-111516,ERR_PINPAD_HARDWARE,PINPAD ERRORS,Pinpad error: General hardware unicreditbulbank error
-111517,ERR_PINPAD_INVALID_CRC,PINPAD ERRORS,Pinpad error: Invalid code check (Not used in this FW version)
-111518,ERR_PINPAD_CANCEL,PINPAD ERRORS,Pinpad error: The button 'CANCEL' is pressed
-111519,ERR_PINPAD_INVALID_SIGNATURE,PINPAD ERRORS,Pinpad error: Invalid signature
-111520,ERR_PINPAD_INVALID_HEADER,PINPAD ERRORS,Pinpad error: Invalid data in header
-111521,ERR_PINPAD_INVALID_PASSWORD,PINPAD ERRORS,Pinpad error: Incorrect password
-111522,ERR_PINPAD_INVALID_KEY_FORMAT,PINPAD ERRORS,Pinpad error: Invalid key format
-111523,ERR_PINPAD_SCR,PINPAD ERRORS,Pinpad error: General unicreditbulbank error in smart card reader
-111524,ERR_PINPAD_HAL,PINPAD ERRORS,Pinpad error: Error code returned from HAL functions
-111525,ERR_PINPAD_INVALID_KEY,PINPAD ERRORS,Pinpad error: Invalid key (may not be present)
-111526,ERR_PINPAD_NO_PIN_DATA,PINPAD ERRORS,Pinpad error: The PIN length is less than 4 or bigger than 12
-111527,ERR_PINPAD_INVALID_REMINDER,PINPAD ERRORS,Pinpad error: Issuer or ICC key invalid remainder length
-111528,ERR_PINPAD_NOT_INIT,PINPAD ERRORS,Pinpad error: Not initialized (Not used in this FW version)
-111529,ERR_PINPAD_LIMIT,PINPAD ERRORS,Pinpad error: Limit is reached (Not used in this FW version)
-111530,ERR_PINPAD_INVALID_SEQUENCE,PINPAD ERRORS,Pinpad error: Invalid sequence (Not used in this FW version)
-111531,ERR_PINPAD_NO_PERMITION,PINPAD ERRORS,Pinpad error: The action is not permitted
-111532,ERR_PINPAD_NO_TMK,PINPAD ERRORS,Pinpad error: TMK is not loaded. The action cannot be executed
-111533,ERR_PINPAD_INVALID_KEK,PINPAD ERRORS,Pinpad error: Wrong key format
-111534,ERR_PINPAD_DUPLICATE_KEY,PINPAD ERRORS,Pinpad error: Duplicated key
-111535,ERR_PINPAD_KEYBOARD,PINPAD ERRORS,Pinpad error: General keyboard error
-111536,ERR_PINPAD_KEYBOARD_NOT_CALIBRATED,PINPAD ERRORS,Pinpad error: The keyboard is no calibrated.
-111537,ERR_PINPAD_KEYBOARD_FAILED,PINPAD ERRORS,Pinpad error: Keyboard bug detected.
-111538,ERR_PINPAD_DEVICE_BUSY,PINPAD ERRORS,"Pinpad error: The device is busy, try again"
-111539,ERR_PINPAD_TAMPERED,PINPAD ERRORS,Pinpad error: Device is tampered
-111540,ERR_PINPAD_EMSR,PINPAD ERRORS,Pinpad error: Error in encrypted head
-111541,ERR_PINPAD_ACCEPT,PINPAD ERRORS,Pinpad error: The button 'OK' is pressed
-111542,ERR_PINPAD_INVALID_PAN,PINPAD ERRORS,Pinpad error: Wrong PAN
-111543,ERR_PINPAD_NOT_ENOUGH_MEMORY,PINPAD ERRORS,Pinpad error: Out of memory
-111544,ERR_PINPAD_EMV,PINPAD ERRORS,Pinpad error: EMV error
-111545,ERR_PINPAD_CRYPTOGRAPHY,PINPAD ERRORS,Pinpad error: Cryptographic error
-111546,ERR_PINPAD_COMMUNICATION,PINPAD ERRORS,Pinpad error: Communication error
-111547,ERR_PINPAD_INVALID_VERSION,PINPAD ERRORS,Pinpad error: Invalid firmware version
-111548,ERR_PINPAD_NOPAPER,PINPAD ERRORS,Pinpad error: Printer is out of paper
-111549,ERR_PINPAD_OVERHEATED,PINPAD ERRORS,Pinpad error: Printer is overheated
-111550,ERR_PINPAD_NOT_CONNECTED,PINPAD ERRORS,Pinpad error: Device is not connected
-111551,ERR_PINPAD_USE_CHIP,PINPAD ERRORS,Pinpad error: Use the chip reader
-111552,ERR_PINPAD_END_DAY,PINPAD ERRORS,Pinpad error: End the day first
-111554,ERR_PINPAD_BOR_ERR,PINPAD ERRORS,Pinpad error: Error from Borica
-111555,ERR_PINPAD_NO_CONN,PINPAD ERRORS,Pinpad error: No connection with pinpad
-111556,ERR_PINPAD_ECR,PINPAD ERRORS,"Pinpad error: Success in pinpad, unsuccess in ECR"
-111557,ERR_PINPAD_NOT_CONF,PINPAD ERRORS,Pinpad error: Not configured connection between fiscal device and PinPad
-111558,ERR_PINPAD_SAME_TRANS,PINPAD ERRORS,Pinpad error: The last transactions are equals or connection is interrupted - try again.
-111559,ERR_PINPAD_RECEIPT,PINPAD ERRORS,payment with such type.
-111560,ERR_PINPAD_FP_TRANS,PINPAD ERRORS,Pinpad error: Unknown result of the transaction between fiscal device and PinPad
-111561,ERR_PINPAD_NOT_CONF_TYPE,PINPAD ERRORS,Pinpad error: Pinpad type not configured
-111700,ERR_PINPAD_INV_AMOUNT,PINPAD ERRORS,Pinpad error: Invalid ammount.
-111701,ERR_PINPAD_TRN_NOT_FOUND,PINPAD ERRORS,Pinpad error: Transaction not found.
-111702,ERR_PINPAD_FILE_EMPTY,PINPAD ERRORS,Pinpad error: The file is empty.
-111703,ERR_PINPAD_MAX_CASHBACK,PINPAD ERRORS,Entered cashback is bigger than cashback limit.
-111800,ERR_SCALE_NOT_RESPOND,SCALE REMOTE CONTROL,ERR_SCALE_NOT_RESPOND
-111801,ERR_SCALE_NOT_CALCULATED,SCALE REMOTE CONTROL,ERR_SCALE_NOT_CALCULATED
-111802,ERR_SCALE_WRONG_RESPONSE,SCALE REMOTE CONTROL,ERR_SCALE_WRONG_RESPONSE
-111803,ERR_SCALE_ZERO_WEIGHT,SCALE REMOTE CONTROL,ERR_SCALE_ZERO_WEIGHT
-111804,ERR_SCALE_NEGATIVE_WEIGHT,SCALE REMOTE CONTROL,ERR_SCALE_NEGATIVE_WEIGHT
-111805,ERR_SCALE_T_WRONG_INTF,SCALE REMOTE CONTROL,ERR_SCALE_T_WRONG_INTF
-111806,ERR_SCALE_T_CONNECT,SCALE REMOTE CONTROL,ERR_SCALE_T_CONNECT
-111807,ERR_SCALE_SEND,SCALE REMOTE CONTROL,ERR_SCALE_SEND
-111808,ERR_SCALE_RECEIVE,SCALE REMOTE CONTROL,ERR_SCALE_RECEIVE
-111809,ERR_SCALE_FILE_GENERATE,SCALE REMOTE CONTROL,ERR_SCALE_FILE_GENERATE
-111810,ERR_SCALE_NOT_CONFIG,SCALE REMOTE CONTROL,ERR_SCALE_NOT_CONFIG
-112000,ERR_FP_INVALID_COMMAND,FP_MODE ERRORS,Fiscal printer error: Fiscal printer invalid command
-112001,ERR_FP_INVALID_SYNTAX,FP_MODE ERRORS,Fiscal printer error: Fiscal printer command invalid syntax
-112002,ERR_FP_COMMAND_NOT_PERMITTED,FP_MODE ERRORS,Fiscal printer error: Command is not permitted
-112003,ERR_FP_OVERFLOW,FP_MODE ERRORS,Fiscal printer error: Register overflow
-112004,ERR_FP_WRONG_DATE_TIME,FP_MODE ERRORS,Fiscal printer error: Wrong date/time
-112005,ERR_FP_NEEDED_MODE_PC,FP_MODE ERRORS,Fiscal printer error: PC mode is needed
-112006,ERR_FP_NO_PAPER,FP_MODE ERRORS,Fiscal printer error: No paper
-112007,ERR_FP_COVER_IS_OPEN,FP_MODE ERRORS,Fiscal printer error: Cover is open
-112008,ERR_FP_PRINTER_FAILURE,FP_MODE ERRORS,Fiscal printer error: Printing mechanism error
-112100,_ERR_FP_SYNTAX_PARAM_BEGIN,FP_MODE ERRORS BY SYNTAX,_ERR_FP_SYNTAX_PARAM_BEGIN
-112101,ERR_FP_SYNTAX_PARAM_1,FP_MODE ERRORS BY SYNTAX,Invalid syntax of parameter 1.
-112102,ERR_FP_SYNTAX_PARAM_2,FP_MODE ERRORS BY SYNTAX,Invalid syntax of parameter 2.
-112103,ERR_FP_SYNTAX_PARAM_3,FP_MODE ERRORS BY SYNTAX,Invalid syntax of parameter 3.
-112104,ERR_FP_SYNTAX_PARAM_4,FP_MODE ERRORS BY SYNTAX,Invalid syntax of parameter 4.
-112105,ERR_FP_SYNTAX_PARAM_5,FP_MODE ERRORS BY SYNTAX,Invalid syntax of parameter 5.
-112106,ERR_FP_SYNTAX_PARAM_6,FP_MODE ERRORS BY SYNTAX,Invalid syntax of parameter 6.
-112107,ERR_FP_SYNTAX_PARAM_7,FP_MODE ERRORS BY SYNTAX,Invalid syntax of parameter 7.
-112108,ERR_FP_SYNTAX_PARAM_8,FP_MODE ERRORS BY SYNTAX,Invalid syntax of parameter 8.
-112109,ERR_FP_SYNTAX_PARAM_9,FP_MODE ERRORS BY SYNTAX,Invalid syntax of parameter 9.
-112110,ERR_FP_SYNTAX_PARAM_10,FP_MODE ERRORS BY SYNTAX,Invalid syntax of parameter 10.
-112111,ERR_FP_SYNTAX_PARAM_11,FP_MODE ERRORS BY SYNTAX,Invalid syntax of parameter 11.
-112112,ERR_FP_SYNTAX_PARAM_12,FP_MODE ERRORS BY SYNTAX,Invalid syntax of parameter 12.
-112113,ERR_FP_SYNTAX_PARAM_13,FP_MODE ERRORS BY SYNTAX,Invalid syntax of parameter 13.
-112114,ERR_FP_SYNTAX_PARAM_14,FP_MODE ERRORS BY SYNTAX,Invalid syntax of parameter 14.
-112115,ERR_FP_SYNTAX_PARAM_15,FP_MODE ERRORS BY SYNTAX,Invalid syntax of parameter 15.
-112116,ERR_FP_SYNTAX_PARAM_16,FP_MODE ERRORS BY SYNTAX,Invalid syntax of parameter 16.
-112199,_ERR_FP_SYNTAX_PARAM_END,FP_MODE ERRORS BY SYNTAX,_ERR_FP_SYNTAX_PARAM_END
-112200,_ERR_FP_BAD_PARAM_BEGIN,FP_MODE ERRORS BY VALUE,_ERR_FP_BAD_PARAM_BEGIN
-112201,ERR_FP_BAD_PARAM_1,FP_MODE ERRORS BY VALUE,Bad value of parameter 1.
-112202,ERR_FP_BAD_PARAM_2,FP_MODE ERRORS BY VALUE,Bad value of parameter 2.
-112203,ERR_FP_BAD_PARAM_3,FP_MODE ERRORS BY VALUE,Bad value of parameter 3.
-112204,ERR_FP_BAD_PARAM_4,FP_MODE ERRORS BY VALUE,Bad value of parameter 4.
-112205,ERR_FP_BAD_PARAM_5,FP_MODE ERRORS BY VALUE,Bad value of parameter 5.
-112206,ERR_FP_BAD_PARAM_6,FP_MODE ERRORS BY VALUE,Bad value of parameter 6.
-112207,ERR_FP_BAD_PARAM_7,FP_MODE ERRORS BY VALUE,Bad value of parameter 7.
-112208,ERR_FP_BAD_PARAM_8,FP_MODE ERRORS BY VALUE,Bad value of parameter 8.
-112209,ERR_FP_BAD_PARAM_9,FP_MODE ERRORS BY VALUE,Bad value of parameter 9.
-112210,ERR_FP_BAD_PARAM_10,FP_MODE ERRORS BY VALUE,Bad value of parameter 10.
-112211,ERR_FP_BAD_PARAM_11,FP_MODE ERRORS BY VALUE,Bad value of parameter 11.
-112212,ERR_FP_BAD_PARAM_12,FP_MODE ERRORS BY VALUE,Bad value of parameter 12.
-112213,ERR_FP_BAD_PARAM_13,FP_MODE ERRORS BY VALUE,Bad value of parameter 13.
-112214,ERR_FP_BAD_PARAM_14,FP_MODE ERRORS BY VALUE,Bad value of parameter 14.
-112215,ERR_FP_BAD_PARAM_15,FP_MODE ERRORS BY VALUE,Bad value of parameter 15.
-112216,ERR_FP_BAD_PARAM_16,FP_MODE ERRORS BY VALUE,Bad value of parameter 16.
-112299,_ERR_FP_BAD_PARAM_END,FP_MODE ERRORS BY VALUE,_ERR_FP_BAD_PARAM_END
-114000,ERR_POS_TERM_CHAN_CLOSED,POS TERMINAL ERRORS,POS- terminal error: Communication channel is closed
-118000,ERR_ECRSRV_NO_SOCKET_OPENED,ONLINE ERRORS,ECR server error: The connection socket is not open
-118001,ERR_ECRSRV_SET_IS_NOT_TAKEN,ONLINE ERRORS,ECR server error: The set for this command is not opened
-118002,ERR_ECRSRV_WRONG_PARAM,ONLINE ERRORS,ECR server error: Wrong parameter
-118003,ERR_ECRSRV_NOT_SEND,ONLINE ERRORS,ECR server error: Socket send error. Could not send data to server
-118004,ERR_ECRSRV_RECV_TMOUT,ONLINE ERRORS,ECR server error: Receiving timeout. No data is receivec on time
-118005,ERR_ECRSRV_SOCKET_CLOSED,ONLINE ERRORS,ECR server error: Socket is closed
-118006,ERR_ECRSRV_UNKNOWN,ONLINE ERRORS,ECR server error: Unknown state
-118007,ERR_ECRSRV_FORBIDEN,ONLINE ERRORS,ECR server error: Forbidden operation
-120000,ERR_PGM_NAME_NOT_UNIQUE,PROGRAMMING ERROR,Programming: Name is not unique!
-120001,ERR_PGM_OPER_PASS_NOT_UNIQUE,PROGRAMMING ERROR,Programming: Operator password is not unique!
-120002,ERR_PGM_DATETIME_OUT_OF_RANGE_MIN,PROGRAMMING ERROR,Programming: Date and time is under the range.
-120003,ERR_PGM_DATETIME_OUT_OF_RANGE_MAX,PROGRAMMING ERROR,Programming: Date and time is under the range.
-121000,ERR_SCANNER_GENERAL,COURIER ERRORS,Barcode scanner reading error!
-121001,ERR_COURIER_EIK_INVALID,COURIER ERRORS,Invalid EIK/EGN number!
-170000,ERR_USB_HOST_INIT,PENDRIVE ERRORS,USB error: Host init error
-170001,ERR_USB_NO_DEVICE,PENDRIVE ERRORS,USB error: No device
-170002,ERR_USB_NO_FILESYSTEM,PENDRIVE ERRORS,USB error: No filesystem
-170003,ERR_USB_FILE_OPEN,PENDRIVE ERRORS,USB error: File open error
-170004,ERR_USB_FILE_COPY,PENDRIVE ERRORS,USB error: File copy error
-170005,ERR_FILE_UNPACK,PENDRIVE ERRORS,USB error: File unpack error
