Код;Наименование
11149016;Председател, браншови и регионални организации
11149017;Заместник-председател, организация на работниците и служителите
11149018;Вицепрезидент, организация на работниците и служителите
11149019;Изпълнителен директор, оранизация на работниците и служителите
11149020;Главен директор, организация на работниците и служителите
11149021;Директор, организация на работниците и служителите
11147022;Изпълнителен директор, организации с нестопанска цел/съсловни организации
11147023;Директор, организации с нестопанска цел/съсловни организации
11149024;Председател, организации с нестопанска цел/съсловни организации
11149025;Заместник-председател, организации с нестопанска цел/съсловни организации
11149026;Генерален секретар, организации с нестопанска цел/съсловни организации
11149027;Секретар, организации с нестопанска цел/съсловни организации
11149028;Ръководител, контролен орган на организации с нестопанска цел/съсловни организации
11149029;Висш служител на друго регистрирано вероизповедание
11149030;Патриарх на Българската православна църква
11149031;Митрополит
11149032;Главен мюфтия
11149033;Епископ на Католическата църква в България
11149034;Председател на Български олимпийски комитет
11147035;Председател, обществена организация
11147036;Заместник-председател, обществена организация
11144037;Игумен на ставропигиален манастир
11145038;Изпълнителен секретар, организация на работниците и служителите
11145039;Началник кабинет, организация на работниците и служителите
11145040;Парламентарен секретар, организация на работниците и служителите
11145042;Ръководител на Пресцентър, организация на работниците и служителите
11145043;Федерален секретар, браншова организация на работниците и служителите
11146044;Главен секретар на СВ. Синод
11145045;Национален секретар, организация на работниците и служителите
11207001;Генерален директор 
11207002;Изпълнителен директор
11206003;Изпълнителен директор/директор, лечебно заведение за болнична помощ
11206004;Ръководител, кооперативно предприятие
11206005;Директор, организация
11206006;Директор, предприятие
11206007;Директор, вестник
11206008;Директор, радио
11206009;Директор, телевизия
11207010;Директор, банка
11207011;Заместник-директор, банка
11207012;Заместник-генерален директор
11206013;Заместник-директор, организация
11206014;Заместник-директор, предприятие
11207015;Заместник-ръководител, кооперативно предприятие
11207016;Заместник-председател, управителен съвет/съвет на директорите, търговско дружество
11207017;Заместник-изпълнителен директор
11207018;Председател, управителен съвет (съвет на директорите) на търговско дружество
11207019;Председател, Надзорен съвет в търговско дружество
11207020;Член, съвет на директорите
11207021;Член, управителен съвет
11207022;Прокурист (търговски управител)
11207023;Управител
11207024;Управител, застрахователно дружество
11207025;Член, Надзорен съвет в търговско дружество
11207026;Главно надзорно лице
11207027;Заместник-управител
11209028;Заместник-председател управителен съвет, Централен кооперативен съюз
11209029;Заместник-председател, кооперативен съюз
11209030;Заместник-председател, кооперация
11209031;Председател, контролен съвет на кооперативен съюз
11209032;Председател, контролен съвет на Централен кооперативен съюз
11209033;Председател, кооперативен съюз
11209034;Председател, кооперация
11209035;Председател на управителен съвет на Централен кооперативен съюз
11209036;Ректор, висше училище
11209037;Заместник-ректор, висше училище
11207038;Помощник-ректор, висше училище
11209039;Генерален директор на Българска телеграфна агенция
11206040;Ръководител, отдел в транспорта и въздушното обслужване
11207041;Ръководител/директор, регионално поделение обслужване на въздушно движение
11207042;Заместник ръководител/директор, регионално поделение обслужване на въздушно движение
11207043;Ръководител/директор, обособено звено транспорт
11207044;Директор, обособено звено аеронавигационното в обслужване
11207045;Регионален мениджър
11207046;Управител, клон на търговско дружество
11207047;Ръководител във фармацевтичната компания, фармацевт
11206048;Директор
11206049;Ректор на Духовната семинария
11207050;Директор регионално поделение
11207051;Програмен директор
11207052;Главен архитект, община/район
11207053;Член на Висшия съдебен съвет
11206054;Социален предприемач
12117001;Финансов директор
12117002;Финансов мениджър
12116003;Управител, финансови дейности
12116004;Управител, счетоводни услуги
