Код;Наименование
21336007;Изследовател, екология
21336008;Научен работник, екология
21336009;Анализатор, качество на водата
21416001;Инженер, производство
21416002;Инженер, производствена ефективност
21416003;Инженер, производствено планиране, прогнозиране и развитие
21416004;Инженер-технолог, опаковане на продукция
21417005;Ръководител, производствени  технологии
21417006;Инженер, координатор по заваряване
21426001;Инженер, хидролог
21426002;Инженер, водоснабдяване и канализация
21426003;Инженер, железопътно строителство
21426004;Инженер, инвеститорски контрол
21426005;Инженер, иригации
21426006;Инженер, конструктор в строителството
21426007;Инженер, мостово строителство
21426008;Инженер, пристанищно строителство
21426009;Инженер, строителство на сгради и съоръжения
21426010;Инженер, пътно строителство
21426011;Инженер, санитарно строителство
21426012;Инженер, строителен
21426013;Инженер, строителни конструкции
21426014;Инженер, строителство във вода
21426015;Инженер, строителство на комини
21426016;Инженер, строителство на куполи и кули
21426017;Инженер, технолог в строителството
21426018;Инженер-технолог, производство на стоманобетонови конструкции
21426019;Инженер, тунелно строителство
21426020;Инженер, хидроенергийно строителство
21426021;Инженер, хидромелиоративно строителство
21426022;Инженер, проектант
21426023;Инженер сграден фонд
21426024;Фасаден инженер
21436001;Инженер, контрол по замърсяване на въздуха
21436002;Инженер, екология 
21436003;Инженер, пречистване на води
21436004;Специалист, възстановяване на околната среда
21447004;Ръководител на експлоатацията, авиация
21443005;Ръководител участък в метрополитен
21443006;Ръководител сектор в метрополитен
21447007;Ръководител участък, транспорт
21447008;Ръководител на участък, железопътен транспорт
21445009;Началник служба в метрополитен
21446010;Дизайнер на автомобили
21446011;Дизайнер на самолети
21446012;Инженер, криогеник
21446013;Инженер, механик
21446014;Инженер, автоматизация на производството
21446015;Инженер, газови турбини
21446016;Инженер, двигатели с вътрешно горене (без дизелови)
21446017;Инженер, дизелови двигатели
21446018;Инженер, контролно-измервателни прибори и апаратура
21446019;Инженер, самолетостроене
21446020;Инженер, водни турбини
21446021;Инженер, индустриални машини и системи
21446022;Инженер, инструментална екипировка
21446023;Инженер, климатични инсталации
21446024;Експерт, климатични и механични системи
21446025;Инженер, корабни двигатели
21446026;Инженер, корабни машини и механизми
21446027;Инженер, корабостроене и кораборемонт
21446028;Инженер, локомотивни двигатели
21446029;Инженер, минни машини
21446030;Инженер, отоплителни, вентилационни и охладителни системи
21446031;Инженер, парни и водогрейни котли
21446032;Инженер, парни турбини
21446033;Инженер, руднична вентилация и аеродинамика
21446034;Инженер, самолетни двигатели
21446035;Инженер, селскостопанско машиностроене
21446036;Инженер, смазочни системи
21446037;Инженер, сондажни машини
21446038;Инженер, хидравлични и пневматични машини
21446039;Инженер, топлоенергетика
21446040;Инженер, газопреносна/газоразпределителна мрежа
21446041;Инженер поддръжка
21446042;Инженер, конструктор
21446043;Инженер по авиационно материално техническо снабдяване
21446044;Инженер, механобезопасност и технически надзор
21446045;Инженер, железопътен транспорт
21446046;Конструктор на плавателни съдове
21446047;Експерт по корабоплаване 
21446048;Авиоинженер
21446049;Машинен инженер
21446050;Инженер, поддръжка асансьорна техника
21446051;Технолог, координатор по заваряване
21445052;Мениджър недвижима собственост
21456001;Инженер, химик
21456002;Инженер, химик (нефт и природен газ)
21456003;Инженер, химик в производство и разпределение на природен газ
21456004;Инженер, обработка на светлочувствителни материали
21456005;Инженер, очистване на вода
21456006;Инженер, технология на боите и лаковете
21456007;Инженер, технология на горивата
21456008;Инженер, технология на изкуствените влакна
21456009;Инженер, технология на каучука и каучуковите изделия
21456010;Инженер, технология на органичния синтез и полимерите
21456011;Инженер, технология на пластмасите
21456012;Инженер, технология на целулозното и хартиеното производство
21456013;Инженер, химически процеси
21456014;Инженер, химически процеси в хранително-вкусовата промишленост
21456015;Инженер-химик, организация и икономика на фармацевтичното производство
21456016;Енолог
21466001;Аналитик, металургични процеси
21466002;Инженер, маркшайдер
21466003;Инженер, металург
21466004;Инженер, металург (добив на цветни и редки метали)
21466005;Инженер, металург (добив на черни метали)
21466006;Инженер, металург (радиоактивни материали)
21466007;Инженер, металург (технология на леенето)
21466008;Инженер, минен
21466009;Инженер, минен диспечер
21466010;Инженер, минен (добив на въглища)
21466011;Инженер, минен (добив на метални руди)
21466012;Инженер, минен (технология на минното производство)
21466013;Инженер, минна електромеханика
21466014;Инженер, минно строителство
21466015;Инженер, обогатяване и брикетиране на въглища
21466016;Инженер, обогатяване на полезни изкопаеми
21466017;Инженер, разработване и експлоатация на находища на нефт и природен газ
21466018;Инженер, минен проектант
21496001;Аналитик, комуникации (без компютърни)
21496002;Аналитик, системи (без компютърни)
21496003;Дизайнер, системи (без компютърни)
21496004;Звукоинженер
21496005;Стандартизатор
21496006;Специалист металограф
21496007;Технолог по безразрушителен контрол
21496008;Технолог вибродиагностика
21496009;Инженер, техническа безопасност
21496010;Инженер, изследване на труда
21496011;Инженер, оценяване и остойностяване на обекти и други
21496012;Инженер, патентен
21496013;Инженер, системи (без компютърни)
21496014;Инженер-инспектор балнеотехнически съоръжения
21496015;Инженер (инструктор) по специално въоръжение и техника
21496016;Инженер дефектоскопист
21496017;Инженер вибродиагностика
21496018;Инженер, дефектоскопист по съдове с повишена опасност
21496019;Инженер-технолог, дървообработване
21496020;Инженер-технолог, керамично производство
21496021;Инженер-технолог, кожарско и обувно производство
21496022;Инженер-технолог, полиграфическо производство
21496023;Инженер-технолог, стъклопроизводство
21496024;Инженер-технолог, текстилно производство
21496025;Инженер-технолог, хранително-вкусова промишленост
21496026;Инженер-технолог, циментово производство
21496027;Инженер-технолог, шивашко производство
21496028;Инженер-технолог, електротехнически изделия
21496029;Инженер, медицинска радиологична физика
21496030;Инженер, медицинска санитарна физика
21496031;Инженер, санитарно инженерство
21496032;Инженер, машини и апарати за производство на ядрена енергия
21496033;Инженер, ядрена енергетика
21496034;Инженер, оптика
21496035;Инженер, генериране на електроенергия (водно електрическа централа)
21496036;Експерт, управление на въздушното движение
21495037;Експерт, аеронавигационно информационно обслужване
21495038;Експерт авиационна безопасност
21496039;Инеженер, клиентска поддръжка
21496040;Инженер, качество
21496041;Риск инженер
21496042;Анализатор, мониторинг на фотоволтаични централи
21496043;Експерт по електроенергетика и енергийно регулиране
21496044;Експерт по енергийна ефективност
21516001;Инженер, автоматизация
21516002;Инженер, енергетик
21516003;Инженер, генериране на електроенергия (атомна електроцентрала)
21516004;Инженер, генериране на електроенергия (топло електрическа централа)
21516005;Инженер, генериране на електроенергия (алтернативни източници)
21516006;Инженер, електрически илюминации и ефекти
21516007;Инженер, електрически контактни мрежи
21516008;Инженер, електрически машини и апарати
21516009;Инженер, електрически подсистеми
21516010;Инженер, електромеханично оборудване
21516011;Инженер, електрообзавеждане
21516012;Инженер, енергиен диспечер
21516013;Инженер, осветителна техника
21516014;Инженер, пренос на електроенергия
21516015;Инженер, разпределение на електроенергия
21516016;Инженер, релейна защита
21516017;Инженер, електрически контрол
21516018;Инженер осигурителна техника
21516019;Инженер, електробезопасност
21515020;Началник, газова/парова централа
21515021;Авиоинженер, електро и приборно оборудване
21515022;Авиоинженер, енергетик
21526001;Инженер, хардуер
21526002;Инженер, електронно-технически архив
21526003;Инженер, електроник (полупроводникова техника)
21526004;Инженер, електроник
21526005;Инженер, електроник (компютърен дизайн)
21526006;Инженер, електронни инструменти и прибори
21526007;Инженер, контролно-измервателни прибори и автоматика
21526008;Инженер, космическа техника и апаратура
21526009;Инженер, самолетно оборудване
21526010;Инженер, самолетоводещи съоръжения
21526011;Експерт, системи въздушно обслужване
21526012;Експерт, навигация и метеорологична техника
21526013;Експерт, метеорологично осигуряване
21526014;Инженер, роботика
21525015;Авиоинженер, радиооборудване
21525016;Експерт, метрологично осигуряване
21536001;"Началник, група ""Експлоатация и поддържане в пощи и далекосъобщения"""
21536002;Инженер, радиотелеграфист
21536003;Инженер, телекомуникация
21536004;Инженер, телекомуникация (космичен )
21536005;Инженер, телекомуникация (радарни системи )
21536006;Инженер, телекомуникация (радио)
21536007;Инженер, телекомуникация (сигнални системи)
21536008;Инженер, телекомуникация (телевизия )
21536009;Инженер, телекомуникация (телеграф)
21536010;Инженер, телекомуникация (телефон)
21536011;Инженер, ръководител екип/радио и телевизия
21536012;Инженер, АРС на подвижен състав, метрополитен
21536013;Експерт, телекомуникации и мрежи за данни
21536014;Експерт, комуникации 
21536015;Специалист, телекомуникации и мрежи за данни
21536016;Специалист, маршрутизаторно оборудване
21617001;Главен архитект
21617002;Архитект
21617003;Архитект, интериор
21627001;Ландшафтен архитект
21636001;Дизайнер, моден
21636002;Моделиер
21636003;Дизайнер, сценични костюми
21636004;Дизайнер, бижута
21636005;Промишлен дизайнер
21646001;Урбанист
21646002;Специалист, пространствено и градско планиране
21656001;Геодезист
21656002;Земемер
21656003;Земеустроител
21656004;Специалист, кадастър и регулация
21656005;Картограф
21656006;Топограф
21656007;Фотограметрист
21656008;Хидрограф
21668001;Компютърен аниматор
21668002;Художествен оформител
21666003;Експерт, предпечатна подготовка
21666004;Специалист, предпечатна подготовка
21663005;Мултимедиен дизайнер
21663006;Уеб дизайнер
21663007;Илюстратор
21663008;Графичен дизайнер
21663009;Дизайнер, печатни издания
21663010;Специалист, дигитални изкуства
22117001;Лекар
22117002;Лекар, специализант по обща медицина
22117003;Лекар, обща медицина
22117004;Лекар, вътрешни болести
22117005;Лекар, педиатрия
22117006;Лекар, спешна медицина
22127001;Лекар, обща и клинична патология
22127002;Лекар, токсикология
22127003;Лекар, акушерство и гинекология
22127004;Лекар, клинична алергология
22127005;Лекар, анатомия, хистология и цитология
22127006;Лекар, анестезиология и интензивно лечение
22127007;Лекар, биохимия
22127008;Лекар, вирусология
22127009;Лекар, гастроентерология
22127010;Лекар, медицинска генетика 
22127011;Лекар, гериатрична медицина
22127012;Лекар, кожни и венерически болести
22127013;Лекар, ендокринология и болести на обмяната
22127014;Лекар, епидемиология на инфекциозните болести
22127015;Лекар, клинична имунология
22127016;Лекар, инфекциозни болести
22127017;Лекар, кардиология
22127018;Лекар, клинична лаборатория
22127019;Лекар, микробиология
22127020;Лекар, нервни болести
22127021;Лекар, неонатология
22127022;Лекар, нефрология
22127023;Лекар, медицинска онкология
22127024;Лекар, ушно-носно-гърлени болести
22127025;Лекар, очни болести
22127026;Лекар, медицинска паразитология
22127027;Лекар, патофизиология
22127028;Лекар, детска ендокринология и болести на обмяната
22127029;Лекар, педиатър – алерголог
22127030;Лекар, детска кардиология
22127031;Лекар, детска неврология
22127032;Лекар, детска нефрология и хемодиализа
22127033;Лекар, детска клинична хематология и онкология
22127034;Лекар, детска пневмология и фтизиатрия
22127035;Лекар, детска психиатрия
22127036;Лекар, детска ревматология
22127037;Лекар, детска гастроентерология 
22127038;Лекар, професионални болести
22127039;Лекар, психиатрия
22127040;Лекар, пневмология и фтизиатрия
22127041;Лекар, образна диагностика
22127042;Лекар, нуклеарна медицина
22127043;Лекар, радиобиология
22127044;Лекар, ревматология
22127045;Лекар, специалист по икономика на здравеопазването
22127046;Лекар, медицина на бедствените ситуации (на катастрофите)
22127047;Лекар, специалист по социална медицина и здравен мениджмънт
22127048;Лекар, спортна медицина
22127049;Лекар, съдебна психиатрия
22127050;Лекар, съдебна медицина
22127051;Лекар, клинична фармакология и терапия
22127052;Лекар, физикална и рехабилитационна медицина
22127053;Лекар, клинична хематология
22127054;Лекар, член на НЕЛК/ТЕЛК/ДЕЛК
22127055;Лекар, хирургия
22127056;Лекар, гръдна хирургия
22127057;Лекар, детска хирургия
22127058;Хирург, естетична (козметична) хирургия
22127059;Лекар, кардиохирургия
22127060;Лекар, лицево-челюстна хирургия
22127061;Лекар, неврохирургия
22127062;Лекар, ортопедия и травматология
22127063;Лекар, пластично-възстановителна и естетична хирургия
22127064;Лекар, съдова хирургия
22127065;Лекар, урология
22127066;Лекар, авиационна медицина
22127067;Лекар, лъчелечение
22127068;Лекар, трансфузионна хематология
22127069;Лекар, ангиология
22127070;Лекар, клинична токсикология
22127071;Лекар, обща хигиена
22127072;Лекар, радиационна хигиена
22127073;Лекар, хигиена на детско-юношеската възраст
22127074;Лекар, хранене и диететика
22127075;Лекар, медицинска биология
22127076;Лекар, физиология
22127077;Лекар, военна токсикология
22127078;Лекар, военномедицинско планиране
22127079;Лекар, превантивна военна медицина
22127080;Лекар, дентална, орална и лицево-челюстна хирургия
22127081;Лекар, специализант
22127082;Лекар, фармакология
22127083;Лекар, педиатрия (специалист)
22127084;Лекар, вътрешни болести (специалист)
22216001;Медицинска сестра
22216002;Медицинска сестра, домашни грижи
22216003;Медицинска сестра, специализант
22216004;Медицинска сестра, анестезиология и интензивни грижи
22216005;Медицинска сестра, консултант по кърмене и здравословно и диетично хранене
22216006;Медицинска сестра, болнична хигиена (превенция и контрол на инфекциите)
22216007;Медицинска сестра за социални дейности
22216008;Медицинска сестра, обществено здравеопазване
22216009;Медицинска сестра, операционна и превързочна техника
22216010;Медицинска сестра, психиатрични грижи
22216011;Медицинска сестра, първични здравни грижи
22216012;Медицинска сестра, спешна медицинска помощ
22216013;Медицинска сестра, със специалност в системата на здравеопазването
22216014;Медицинска сестра, специфични грижи за пациенти с онкологични заболявания
22216015;Медицинска сестра, апаратно поддържане на извънтелесно кръвообращение
22226001;Акушерка
22226002;Акушерка, специализант
22226003;Акушерка, анестезиология и интензивни грижи
22226004;Акушерка, консултант по кърмене и здравословно и диетично хранене
22226005;Акушерка, болнична хигиена (превенция и контрол на инфекциите)
22226006;Акушерка, обществено здравеопазване
22226007;Акушерка, операционна и превързочна техника
22226008;Акушерка, със специалност в системата на здравеопазването
22307001;Лекар, хомеопат
22307002;Лекар по дентална медицина, хомеопат
22403001;Фелдшер
22403002;Фелдшер, специализант
22403003;Фелдшер, със специалност в системата на здравеопазването
22406004;Лекарски асистент
22506001;Физиолог, животни
22507002;Патолог, ветеринарен
22507003;Ветеринарен лекар
22507004;Ветеринарен лекар, акушер-гинеколог
22507005;Ветеринарен лекар, ветеринарно-санитарен инспектор 
22507006;Ветеринарен лекар, епидемиолог
22507007;Ветеринарен лекар, интернист
22507008;Ветеринарен лекар, паразитолог
22507009;Ветеринарен лекар, патолог
22507010;Ветеринарен лекар, фармаколог и токсиколог
22507011;Ветеринарен лекар, физиолог
22507012;Ветеринарен лекар, хирург
22507013;Епизоотолог
22507014;Ветеринарен лекар, лабораторен
22617001;Лекар по дентална медицина
22617002;Лекар по дентална медицина, детска дентална медицина
22617003;Лекар по дентална медицина, ортодонтия
22617004;Лекар по дентална медицина, протетична дентална медицина
22617005;Лекар по дентална медицина, пародонтология и заболявания на оралната лигавица
22617006;Лекар по дентална медицина, орална хирургия
22617007;Лекар по дентална медицина, обща дентална медицина
22617008;Лекар по дентална медицина, оперативно зъболечение и ендодонтия
22617009;Лекар по дентална медицина, социална медицина и обществено дентално здраве
22617010;Лекар по дентална медицина, дентална клинична алергология
22617011;Лекар по дентална медицина, дентална образна диагностика
22617012;Лекар по дентална медицина, специализант
22617013;Лекар по дентална медицина, лицево-челюстна хирургия
22626001;Фармацевт, индустриален
22626002;Химик-фармацевт
22627003;Фармацевт магистър
22627004;Фармацевт магистър, инспектор
22627005;Фармацевт магистър, аналитик
22627006;Фармацевт магистър, технолог
22627008;Фармацевт, магистър, анализ на лекарствените продукти
22627009;Фармацевт, магистър, клинична фармация
22627010;Фармацевт, магистър, лечебни растения и фитофармацевтични продукти
22627011;Фармацевт, магистър, организация и икономика на дистрибуторската и аптечната практика
22627012;Фармацевт, магистър, организация и икономика на фармацевтичното производство
22627013;Фармацевт, магистър, технология на лекарствата с биофармация
22627014;Фармацевт, магистър, токсикология и токсикологичен анализ
22627015;Фармацевт, магистър, клинична химия
22627016;Фармацевт, магистър, военномедицинско снабдяване
22626018;Фармацевт- магистър, медицински представител
22626019;Експерт, здравна комуникация и лекарствена информация
22626020;Експерт, клинични изследвания
22626021;Експерт, регистрация на лекарствени продукти
22627022;Фармацевт, специализант 
22637001;Лекар, комунална хигиена
22637002;Лекар, служба по трудова медицина
22637003;Лекар, експерт по експертиза на работоспособността
22637004;Лекар, експерт по експертиза на временна неработоспособност
22636005;Експерт, здравословни и безопасни условия на работа
22636006;Ергоном
22637007;Лекар, специалист по трудова медицина
22645001;Рехабилитатор
22645002;Рехабилитатор, специализант
22645003;Рехабилитатор, рехабилитационни методики и лечение на деца с церебрална парализа
22646004;Кинезитерапевт
22646005;Медицински рехабилитатор, ерготерапевт
22646006;Физиотерапист
22653001;Диетолог
22653002;Инструктор, диетично хранене
22653003;Консултант, диетично хранене
22653004;Консултант, здравословно хранене
22666001;Логопед
22664002;Специалист, слухопротезиране
22666003;Аудиолог
22674001;Оптик, оптометрист
22676002;Оптометрист
22697001;Лекар, медицинско застраховане и консултации
22696002;Ерготерапевт
22696003;Терапевт, ориентиране на слепи
22696004;Терапевт, професионално съветване
22697005;Лекар по дентална медицина, контрольор
22697006;Лекар, контрольор
22696007;Експерт, лекарствена безопасност
22696008;Главен експерт, лекарствена безопасност
22696009;Контрольор в Районна здравноосигурителна каса
23106001;Преподавател, висше училище
23107002;Асистент, висше училище
23107003;Главен асистент, висше училище
23107004;Доцент, висше училище
23107005;Професор, висше училище
23107007;Старши преподавател, висше училище
23106008;Гост-преподавател, висше училище
23106009;Хоноруван преподавател, висше училище
23205002;Учител, практическо обучение
23205003;Старши учител, практическо обучение 
23207004;Главен учител, практическо обучение 
23205006;Учител, теоретично обучение
23205007;Старши учител, теоретично обучение
23207008;Главен учител, теоретично обучение
23205009;Преподавател, център за професионално обучение
23205010;Учител/преподавател, професионален колеж
23305004;Учител, общообразователен учебен предмет в прогимназиален етап
23305005;Учител, общообразователен учебен предмет в гимназиален етап
23305006;Учител спортна подготовка
23305007;Старши учител, общообразователен учебен предмет в прогимназиален етап
23305008;Старши учител, общообразователен учебен предмет в гимназиален етап
23305009;Старши учител спортна подготовка
23307010;Главен учител, общообразователен учебен предмет в прогимназиален етап
23307011;Главен учител, общообразователен учебен предмет в гимназиален етап
23307012;Главен учител спортна подготовка
23306013;Учител по религия в прогимназиален етап
23306014;Учител по религия в гимназиален етап
23306015;Старши учител по религия в прогимназиален етап
23306016;Старши учител по религия в гимназиален етап
23307017;Главен учител по религия в прогимназиален етап
23307018;Главен учител по религия в гимназиален етап
23305019;Учител в група за целодневна организация на учебния ден V-VII клас
23305020;Старши учител в група за целодневна организация на учебния ден V-VII клас
23306021;Главен учител в група за целодневна организация на учебния ден V-VII клас
23415002;Учител, начален етап на основното образование (I-IV клас) 
23415003;Старши учител, начален етап на основното образование (I-IV клас) 
23417004;Главен учител, начален етап на основното образование (I-IV клас) 
23415006;Учител, чужд език в начален етап на основното образование (I-IV клас) 
23415007;Старши учител, чужд език в начален етап на основното образование (I-IV клас) 
23417008;Главен учител, чужд език в начален етап на основното образование (I-IV клас) 
23416009;Учител по религия в начален етап на основното образование (I-IV клас) 
23416010;Старши учител по религия в начален етап на основното образование (I-IV клас) 
23417011;Главен учител по религия в начален етап на основното образование (I-IV клас) 
23415012;Учител в начален етап на основното образование по компютърно моделиране
23415013;Старши учител в начален етап на основното образование по компютърно моделиране
23416014;Главен учител в начален етап на основното образование по компютърно моделиране
23415015;Учител в група за целодневна организация на учебния ден I-IV клас
23415016;Старши учител в група за целодневна организация на учебния ден I-IV клас
23416017;Главен учител в група за целодневна организация на учебния ден I-IV клас
23416018;Учител по физическо възпитание и спорт в начален етап на основното образование (I-IV клас)
23416019;Старши чител по физическо възпитание и спорт в начален етап на основното образование (I-IV клас)
23417020;Главен учител по физическо възпитание и спорт в начален етап на основното образование (I-IV клас)
23425002;Учител, детска градина
23425003;Старши учител, детска градина
23427004;Главен учител, детска градина
23425006;Учител, музика в детска градина
23425007;Старши учител, музика в детска градина
23427008;Главен учител, музика в детска градина
23425010;Учител, подготвителна група
23425011;Старши учител, подготвителна група
23427012;Главен учител, подготвителна група
23516001;Учител методик
23525002;Учител, ресурсен
23525003;Старши учител, ресурсен
23527004;Главен учител, ресурсен
23525006;Логопед в институция в системата на предучилищното и училищното образование
23525010;Учител на деца с умствена изостаналост
23525011;Старши учител на деца с умствена изостаналост
23527012;Главен учител на деца с умствена изостаналост
23525014;Рехабилитатор на слуха и говора в институция в системата на предучилищното и училищното образование
23525018;Учител на деца с нарушено зрение 
23525019;Старши учител на деца с нарушено зрение 
23527020;Главен учител на деца с нарушено зрение 
23525021;Учител на деца и ученици с увреден слух
23525022;Старши учител на деца и ученици с увреден слух
23526023;Главен учител на деца и ученици с увреден слух
23525024;Учител в група за предучилищно образование в специално училище
23525025;Старши учител в група за предучилищно образование в специално училище
23526026;Главен учител в група за предучилищно образование в специално училище
23535001;Учител/ Преподавател, чужд език в занимания по интереси
23535004;Учител, чужд език в център за подкрепа за личностно развитие и в Националния дворец на децата
23535005;Старши учител, чужд език в център за подкрепа за личностно развитие и в Националния дворец на децата
23537006;Главен учител, чужд език в център за подкрепа за личностно развитие и в Националния дворец на децата
23545001;Учител/ Преподавател, музика в занимания по интереси
23545002;Ръководител, музика в обслужващи звена в системата на народната просвета
23545004;Учител, музика в център за подкрепа за личностно развитие и в Националния дворец на децата
23545005;Старши учител, музика в център за подкрепа за личностно развитие и в Националния дворец на децата
23547006;Главен учител, музика в център за подкрепа за личностно развитие и в Националния дворец на децата
23555001;Учител/ Преподавател, изобразително и/или приложно изкуство в занимания по интереси
23555002;Ръководител, изобразително изкуство в обслужващи звена в системата на народната просвета
23555004;Учител, изобразително изкуство и/или приложно изкуство в център за подкрепа за личностно развитие и в Националния дворец на децата
23555005;Старши учител, изобразително изкуство и/или приложно изкуство в център за подкрепа за личностно развитие и в Националния дворец на децата
23557006;Главен учител, изобразително изкуство и/или приложно изкуство в център за подкрепа за личностно развитие и в Националния дворец на децата
23555007;Учител/ Преподавател, кино и фотоизкуство в занимания по интереси
23555010;Учител, кино и фотоизкуство в център за подкрепа за личностно развитие и в Националния дворец на децата
23555011;Старши учител, кино и фотоизкуство в център за подкрепа за личностно развитие и в Националния дворец на децата
23557012;Главен учител, кино и фотоизкуство в център за подкрепа за личностно развитие и в Националния дворец на децата
23555013;Учител/ Преподавател, танцово изкуство в занимания по интереси
23555016;Учител, танцово изкуство в център за подкрепа за личностно развитие и в Националния дворец на децата
23555017;Старши учител, танцово изкуство в център за подкрепа за личностно развитие и в Националния дворец на децата
23557018;Главен учител, танцово изкуство в център за подкрепа за личностно развитие и в Националния дворец на децата
23555019;Учител/ Преподавател, театрално изкуство в занимания по интереси 
23555022;Учител, театрално изкуство в център за подкрепа за личностно развитие и в Националния дворец  на децата
23555023;Старши учител, театрално изкуство в център за подкрепа за личностно развитие и в Националния дворец  на децата
23557024;Главен учител, театрално изкуство в център за подкрепа за личностно развитие в Националния дворец  на децата
23565001;Учител/ Преподавател, по информационни технологии в занимания по интереси
23565003;Учител, информационни технолигии в център за подкрепа за личностно развитие в Националния дворец  на децата
