id,name,code,level,qualification_group,education_level,skill_level,date_from,active,parent_id/id
bg_ncop_2161,Архитекти,2161,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2162,Ландшафтни архитекти,2162,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2163,Дизайнери на облекло и промишлени продукти,2163,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2164,Урбанисти,2164,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2165,Картографи и земемери,2165,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2166,Графични и мултимедийни дизайнери,2166,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2211,Общопрактикуващи лекари,2211,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2212,Лекари специалисти,2212,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2221,Медицински сестри,2221,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2222,Акушерки,2222,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2230,Специалисти в областта на традиционната и комплементарна медицина,2230,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2240,Лекарски асистенти и фелдшери,2240,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2250,Ветеринари,2250,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2261,Лекари по дентална медицина,2261,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2262,Фармацевти,2262,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2263,Специалисти по медицинска екология хигиена и здравословни условия на труд,2263,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2264,Физиотераписти,2264,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2265,Диетолози и специалисти по хранене,2265,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2266,Аудиолози и логопеди,2266,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2267,Оптометристи и оптици,2267,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2269,Други медицински и здравни специалисти н.д.,2269,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2310,Преподаватели във висши училища,2310,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2320,Учители по професионална подготовка в професионалното образование и обучение и преподаватели в ЦПО и в професионалните колежи,2320,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2330,Учители по общообразователна подготовка в средното образование (V-XII клас),2330,unit_group,specialist,higher,4,2025-01-01,TRUE
bg_ncop_2341,Учители в начален етап на основното образование (I-IV клас),2341,unit_group,specialist,higher,4,2025-01-01,TRUE
