code;description;unit_id
01063300;Щрауси ему (Dromaius novaehollandiae);intrastat_unit_pce
01063910;Живи гълъби;intrastat_unit_pce
01063980;Живи птици (с изключение на грабливите птици, птиците от разред Папагалоподобни, щраусите, емутата и гълъбите);intrastat_unit_none
01064100;Пчели;intrastat_unit_none
01064900;Насекоми (с изключение на пчелите);intrastat_unit_none
01069000;Живи животни (с изключение на бозайници, влечуги, птици, насекоми, риби, ракообразни, мекотели, водни безгръбначни и микроорганизми);intrastat_unit_none
02011000;Цели или половин трупове от животни от рода на едрия рогат добитък, пресни или охладени;intrastat_unit_none
02012020;Компенсирани четвъртинки, необезкостени, от животни от рода на едрия рогат добитък, пресни или охладени;intrastat_unit_none
02012030;Предни четвъртинки, разфасовани или неразфасовани, необезкостени, от животни от рода на едрия рогат добитък, пресни или охладени;intrastat_unit_none
02012050;Задни четвъртинки, разфасовани или неразфасовани, необезкостени, от животни от рода на едрия рогат добитък, пресни или охладени;intrastat_unit_none
02012090;Други необезкостени разфасовки от животни от рода на едрия рогат добитък, пресни или охладени (с изключение на цели или половин трупове, компенсирани, предни или задни четвъртинки);intrastat_unit_none
02013000;Обезкостени разфасовки от животни от рода на едрия рогат добитък, пресни или охладени;intrastat_unit_none
02021000;Цели или половин трупове от животни от рода на едрия рогат добитък, замразени;intrastat_unit_none
02022010;Компенсирани четвъртинки, необезкостени, от животни от рода на едрия рогат добитък, замразени;intrastat_unit_none
02022030;Предни четвъртинки, разфасовани или неразфасовани, необезкостени, от животни от рода на едрия рогат добитък, замразени;intrastat_unit_none
02022050;Задни четвъртинки, разфасовани или неразфасовани, необезкостени, от животни от рода на едрия рогат добитък, замразени;intrastat_unit_none
02022090;Други необезкостени разфасовки от животни от рода на едрия рогат добитък, замразени (с изключение на цели или половин трупове, компенсирани, предни или задни четвъртинки);intrastat_unit_none
